"Código","Municipio","Total de viviendas","Tipo de Vivienda","Cantidad de Viviendas","Porcentaje de Viviendas"
113,"Fraijanes",16775,"Casa Formal",15774,94.03
113,"Fraijanes",16775,"Apartamento",222,1.32
113,"Fraijanes",16775,"Cuarto de casa de vecindad",298,1.78
113,"Fraijanes",16775,"Rancho",7,0.04
113,"Fraijanes",16775,"Improvisada",27,0.16
113,"Fraijanes",16775,"Otro",17,0.1
113,"Fraijanes",16775,"Particular no registrada",424,2.53
114,"Amatitlán",33910,"Total de viviendas colectivas",6,0.02
114,"Amatitlán",33910,"Casa Formal",31318,92.36
114,"Amatitlán",33910,"Apartamento",525,1.55
114,"Amatitlán",33910,"Cuarto de casa de vecindad",746,2.2
114,"Amatitlán",33910,"Rancho",18,0.05
114,"Amatitlán",33910,"Improvisada",262,0.77
114,"Amatitlán",33910,"Otro",24,0.07
114,"Amatitlán",33910,"Particular no registrada",1011,2.98
115,"Villa Nueva",125493,"Total de viviendas colectivas",0,0
115,"Villa Nueva",125493,"Casa Formal",118167,94.16
115,"Villa Nueva",125493,"Apartamento",2683,2.14
115,"Villa Nueva",125493,"Cuarto de casa de vecindad",2990,2.38
115,"Villa Nueva",125493,"Rancho",28,0.02
115,"Villa Nueva",125493,"Improvisada",357,0.28
115,"Villa Nueva",125493,"Otro",99,0.08
115,"Villa Nueva",125493,"Particular no registrada",1169,0.93
116,"Villa Canales",43710,"Total de viviendas colectivas",4,0.01
116,"Villa Canales",43710,"Casa Formal",41699,95.4
116,"Villa Canales",43710,"Apartamento",612,1.4
116,"Villa Canales",43710,"Cuarto de casa de vecindad",671,1.54
116,"Villa Canales",43710,"Rancho",18,0.04
116,"Villa Canales",43710,"Improvisada",311,0.71
116,"Villa Canales",43710,"Otro",18,0.04
116,"Villa Canales",43710,"Particular no registrada",377,0.86
117,"San Miguel Petapa",38889,"Total de viviendas colectivas",5,0.01
117,"San Miguel Petapa",38889,"Casa Formal",35612,91.57
117,"San Miguel Petapa",38889,"Apartamento",1972,5.07
117,"San Miguel Petapa",38889,"Cuarto de casa de vecindad",794,2.04
117,"San Miguel Petapa",38889,"Rancho",6,0.02
117,"San Miguel Petapa",38889,"Improvisada",126,0.32
117,"San Miguel Petapa",38889,"Otro",35,0.09
117,"San Miguel Petapa",38889,"Particular no registrada",339,0.87
201,"Guastatoya",8190,"Total de viviendas colectivas",4,0.05
201,"Guastatoya",8190,"Casa Formal",7617,93
201,"Guastatoya",8190,"Apartamento",285,3.48
201,"Guastatoya",8190,"Cuarto de casa de vecindad",204,2.49
201,"Guastatoya",8190,"Rancho",30,0.37
201,"Guastatoya",8190,"Improvisada",18,0.22
201,"Guastatoya",8190,"Otro",3,0.04
201,"Guastatoya",8190,"Particular no registrada",29,0.35
202,"Morazán",4532,"Total de viviendas colectivas",1,0.02
202,"Morazán",4532,"Casa Formal",4472,98.68
202,"Morazán",4532,"Apartamento",5,0.11
202,"Morazán",4532,"Cuarto de casa de vecindad",0,0
202,"Morazán",4532,"Rancho",9,0.2
202,"Morazán",4532,"Improvisada",4,0.09
202,"Morazán",4532,"Otro",1,0.02
202,"Morazán",4532,"Particular no registrada",40,0.88
203,"San Agustín Acasaguastlán",12679,"Total de viviendas colectivas",9,0.07
203,"San Agustín Acasaguastlán",12679,"Casa Formal",11511,90.79
203,"San Agustín Acasaguastlán",12679,"Apartamento",11,0.09
203,"San Agustín Acasaguastlán",12679,"Cuarto de casa de vecindad",64,0.5
203,"San Agustín Acasaguastlán",12679,"Rancho",1012,7.98
203,"San Agustín Acasaguastlán",12679,"Improvisada",36,0.28
203,"San Agustín Acasaguastlán",12679,"Otro",4,0.03
203,"San Agustín Acasaguastlán",12679,"Particular no registrada",32,0.25
204,"San Cristóbal Acasaguastlán",2661,"Total de viviendas colectivas",2,0.08
204,"San Cristóbal Acasaguastlán",2661,"Casa Formal",2621,98.5
204,"San Cristóbal Acasaguastlán",2661,"Apartamento",4,0.15
204,"San Cristóbal Acasaguastlán",2661,"Cuarto de casa de vecindad",4,0.15
204,"San Cristóbal Acasaguastlán",2661,"Rancho",25,0.94
204,"San Cristóbal Acasaguastlán",2661,"Improvisada",2,0.08
204,"San Cristóbal Acasaguastlán",2661,"Otro",2,0.08
204,"San Cristóbal Acasaguastlán",2661,"Particular no registrada",1,0.04
205,"El Jícaro",4219,"Total de viviendas colectivas",2,0.05
205,"El Jícaro",4219,"Casa Formal",4115,97.53
205,"El Jícaro",4219,"Apartamento",2,0.05
205,"El Jícaro",4219,"Cuarto de casa de vecindad",4,0.09
205,"El Jícaro",4219,"Rancho",64,1.52
205,"El Jícaro",4219,"Improvisada",23,0.55
205,"El Jícaro",4219,"Otro",4,0.09
205,"El Jícaro",4219,"Particular no registrada",5,0.12
206,"Sansare",4110,"Total de viviendas colectivas",3,0.07
206,"Sansare",4110,"Casa Formal",4086,99.42
206,"Sansare",4110,"Apartamento",6,0.15
206,"Sansare",4110,"Cuarto de casa de vecindad",6,0.15
206,"Sansare",4110,"Rancho",4,0.1
206,"Sansare",4110,"Improvisada",3,0.07
206,"Sansare",4110,"Otro",2,0.05
206,"Sansare",4110,"Particular no registrada",0,0
207,"Sanarate",11504,"Total de viviendas colectivas",6,0.05
207,"Sanarate",11504,"Casa Formal",11247,97.77
207,"Sanarate",11504,"Apartamento",101,0.88
207,"Sanarate",11504,"Cuarto de casa de vecindad",56,0.49
207,"Sanarate",11504,"Rancho",12,0.1
207,"Sanarate",11504,"Improvisada",36,0.31
207,"Sanarate",11504,"Otro",7,0.06
207,"Sanarate",11504,"Particular no registrada",39,0.34
208,"San Antonio la Paz",6243,"Total de viviendas colectivas",2,0.03
208,"San Antonio la Paz",6243,"Casa Formal",6132,98.22
208,"San Antonio la Paz",6243,"Apartamento",9,0.14
208,"San Antonio la Paz",6243,"Cuarto de casa de vecindad",7,0.11
208,"San Antonio la Paz",6243,"Rancho",6,0.1
208,"San Antonio la Paz",6243,"Improvisada",83,1.33
208,"San Antonio la Paz",6243,"Otro",1,0.02
208,"San Antonio la Paz",6243,"Particular no registrada",3,0.05
301,"Antigua Guatemala",14719,"Total de viviendas colectivas",32,0.22
301,"Antigua Guatemala",14719,"Casa Formal",13793,93.71
301,"Antigua Guatemala",14719,"Apartamento",141,0.96
301,"Antigua Guatemala",14719,"Cuarto de casa de vecindad",98,0.67
301,"Antigua Guatemala",14719,"Rancho",11,0.07
301,"Antigua Guatemala",14719,"Improvisada",96,0.65
301,"Antigua Guatemala",14719,"Otro",32,0.22
301,"Antigua Guatemala",14719,"Particular no registrada",516,3.51
302,"Jocotenango",5711,"Total de viviendas colectivas",5,0.09
302,"Jocotenango",5711,"Casa Formal",5408,94.69
302,"Jocotenango",5711,"Apartamento",141,2.47
302,"Jocotenango",5711,"Cuarto de casa de vecindad",37,0.65
302,"Jocotenango",5711,"Rancho",0,0
302,"Jocotenango",5711,"Improvisada",16,0.28
302,"Jocotenango",5711,"Otro",2,0.04
302,"Jocotenango",5711,"Particular no registrada",102,1.79
303,"Pastores",4114,"Total de viviendas colectivas",2,0.05
303,"Pastores",4114,"Casa Formal",4078,99.12
303,"Pastores",4114,"Apartamento",10,0.24
303,"Pastores",4114,"Cuarto de casa de vecindad",21,0.51
303,"Pastores",4114,"Rancho",0,0
303,"Pastores",4114,"Improvisada",2,0.05
303,"Pastores",4114,"Otro",1,0.02
303,"Pastores",4114,"Particular no registrada",0,0
304,"Sumpango",10057,"Total de viviendas colectivas",8,0.08
304,"Sumpango",10057,"Casa Formal",9851,97.95
304,"Sumpango",10057,"Apartamento",22,0.22
304,"Sumpango",10057,"Cuarto de casa de vecindad",12,0.12
304,"Sumpango",10057,"Rancho",2,0.02
304,"Sumpango",10057,"Improvisada",12,0.12
304,"Sumpango",10057,"Otro",10,0.1
304,"Sumpango",10057,"Particular no registrada",140,1.39
305,"Santo Domingo Xenacoj",3303,"Total de viviendas colectivas",1,0.03
305,"Santo Domingo Xenacoj",3303,"Casa Formal",3267,98.91
305,"Santo Domingo Xenacoj",3303,"Apartamento",2,0.06
305,"Santo Domingo Xenacoj",3303,"Cuarto de casa de vecindad",7,0.21
305,"Santo Domingo Xenacoj",3303,"Rancho",0,0
305,"Santo Domingo Xenacoj",3303,"Improvisada",4,0.12
305,"Santo Domingo Xenacoj",3303,"Otro",19,0.58
305,"Santo Domingo Xenacoj",3303,"Particular no registrada",3,0.09
306,"Santiago Sacatepéquez",7792,"Total de viviendas colectivas",4,0.05
306,"Santiago Sacatepéquez",7792,"Casa Formal",7310,93.81
306,"Santiago Sacatepéquez",7792,"Apartamento",30,0.39
306,"Santiago Sacatepéquez",7792,"Cuarto de casa de vecindad",213,2.73
306,"Santiago Sacatepéquez",7792,"Rancho",3,0.04
306,"Santiago Sacatepéquez",7792,"Improvisada",15,0.19
306,"Santiago Sacatepéquez",7792,"Otro",3,0.04
306,"Santiago Sacatepéquez",7792,"Particular no registrada",214,2.75
307,"San Bartolomé Milpas Altas",1896,"Total de viviendas colectivas",3,0.16
307,"San Bartolomé Milpas Altas",1896,"Casa Formal",1869,98.58
307,"San Bartolomé Milpas Altas",1896,"Apartamento",8,0.42
307,"San Bartolomé Milpas Altas",1896,"Cuarto de casa de vecindad",12,0.63
307,"San Bartolomé Milpas Altas",1896,"Rancho",0,0
307,"San Bartolomé Milpas Altas",1896,"Improvisada",4,0.21
307,"San Bartolomé Milpas Altas",1896,"Otro",0,0
307,"San Bartolomé Milpas Altas",1896,"Particular no registrada",0,0
308,"San Lucas Sacatepéquez",7735,"Total de viviendas colectivas",16,0.21
308,"San Lucas Sacatepéquez",7735,"Casa Formal",7288,94.22
308,"San Lucas Sacatepéquez",7735,"Apartamento",77,1
308,"San Lucas Sacatepéquez",7735,"Cuarto de casa de vecindad",154,1.99
308,"San Lucas Sacatepéquez",7735,"Rancho",3,0.04
308,"San Lucas Sacatepéquez",7735,"Improvisada",16,0.21
308,"San Lucas Sacatepéquez",7735,"Otro",12,0.16
308,"San Lucas Sacatepéquez",7735,"Particular no registrada",169,2.18
309,"Santa Lucía Milpas Altas",4742,"Total de viviendas colectivas",2,0.04
309,"Santa Lucía Milpas Altas",4742,"Casa Formal",4555,96.06
309,"Santa Lucía Milpas Altas",4742,"Apartamento",42,0.89
309,"Santa Lucía Milpas Altas",4742,"Cuarto de casa de vecindad",57,1.2
309,"Santa Lucía Milpas Altas",4742,"Rancho",1,0.02
309,"Santa Lucía Milpas Altas",4742,"Improvisada",11,0.23
309,"Santa Lucía Milpas Altas",4742,"Otro",9,0.19
309,"Santa Lucía Milpas Altas",4742,"Particular no registrada",65,1.37
310,"Magdalena Milpas Altas",2718,"Total de viviendas colectivas",1,0.04
310,"Magdalena Milpas Altas",2718,"Casa Formal",2690,98.97
310,"Magdalena Milpas Altas",2718,"Apartamento",2,0.07
310,"Magdalena Milpas Altas",2718,"Cuarto de casa de vecindad",0,0
310,"Magdalena Milpas Altas",2718,"Rancho",1,0.04
310,"Magdalena Milpas Altas",2718,"Improvisada",1,0.04
310,"Magdalena Milpas Altas",2718,"Otro",0,0
310,"Magdalena Milpas Altas",2718,"Particular no registrada",23,0.85
311,"Santa María de Jesús",4777,"Total de viviendas colectivas",3,0.06
311,"Santa María de Jesús",4777,"Casa Formal",4754,99.52
311,"Santa María de Jesús",4777,"Apartamento",2,0.04
311,"Santa María de Jesús",4777,"Cuarto de casa de vecindad",3,0.06
311,"Santa María de Jesús",4777,"Rancho",1,0.02
311,"Santa María de Jesús",4777,"Improvisada",3,0.06
311,"Santa María de Jesús",4777,"Otro",11,0.23
311,"Santa María de Jesús",4777,"Particular no registrada",0,0
312,"Ciudad Vieja",8664,"Total de viviendas colectivas",6,0.07
312,"Ciudad Vieja",8664,"Casa Formal",8114,93.65
312,"Ciudad Vieja",8664,"Apartamento",216,2.49
312,"Ciudad Vieja",8664,"Cuarto de casa de vecindad",85,0.98
312,"Ciudad Vieja",8664,"Rancho",6,0.07
312,"Ciudad Vieja",8664,"Improvisada",8,0.09
312,"Ciudad Vieja",8664,"Otro",32,0.37
312,"Ciudad Vieja",8664,"Particular no registrada",197,2.27
313,"San Miguel Dueñas",3320,"Total de viviendas colectivas",4,0.12
313,"San Miguel Dueñas",3320,"Casa Formal",3288,99.04
313,"San Miguel Dueñas",3320,"Apartamento",7,0.21
313,"San Miguel Dueñas",3320,"Cuarto de casa de vecindad",10,0.3
313,"San Miguel Dueñas",3320,"Rancho",1,0.03
313,"San Miguel Dueñas",3320,"Improvisada",7,0.21
313,"San Miguel Dueñas",3320,"Otro",0,0
313,"San Miguel Dueñas",3320,"Particular no registrada",3,0.09
314,"San Juan Alotenango",5242,"Total de viviendas colectivas",3,0.06
314,"San Juan Alotenango",5242,"Casa Formal",5027,95.9
314,"San Juan Alotenango",5242,"Apartamento",6,0.11
314,"San Juan Alotenango",5242,"Cuarto de casa de vecindad",3,0.06
314,"San Juan Alotenango",5242,"Rancho",3,0.06
314,"San Juan Alotenango",5242,"Improvisada",1,0.02
314,"San Juan Alotenango",5242,"Otro",0,0
314,"San Juan Alotenango",5242,"Particular no registrada",199,3.8
315,"San Antonio Aguas Calientes",2691,"Total de viviendas colectivas",2,0.07
315,"San Antonio Aguas Calientes",2691,"Casa Formal",2660,98.85
315,"San Antonio Aguas Calientes",2691,"Apartamento",6,0.22
315,"San Antonio Aguas Calientes",2691,"Cuarto de casa de vecindad",2,0.07
315,"San Antonio Aguas Calientes",2691,"Rancho",3,0.11
315,"San Antonio Aguas Calientes",2691,"Improvisada",8,0.3
315,"San Antonio Aguas Calientes",2691,"Otro",8,0.3
315,"San Antonio Aguas Calientes",2691,"Particular no registrada",2,0.07
316,"Santa Catarina Barahona",984,"Total de viviendas colectivas",0,0
316,"Santa Catarina Barahona",984,"Casa Formal",980,99.59
316,"Santa Catarina Barahona",984,"Apartamento",1,0.1
316,"Santa Catarina Barahona",984,"Cuarto de casa de vecindad",0,0
316,"Santa Catarina Barahona",984,"Rancho",0,0
316,"Santa Catarina Barahona",984,"Improvisada",2,0.2
316,"Santa Catarina Barahona",984,"Otro",1,0.1
316,"Santa Catarina Barahona",984,"Particular no registrada",0,0
401,"Chimaltenango",24743,"Total de viviendas colectivas",14,0.06
401,"Chimaltenango",24743,"Casa Formal",24104,97.42
401,"Chimaltenango",24743,"Apartamento",149,0.6
401,"Chimaltenango",24743,"Cuarto de casa de vecindad",150,0.61
401,"Chimaltenango",24743,"Rancho",17,0.07
401,"Chimaltenango",24743,"Improvisada",73,0.3
401,"Chimaltenango",24743,"Otro",27,0.11
401,"Chimaltenango",24743,"Particular no registrada",209,0.84
402,"San José Poaquil",6160,"Total de viviendas colectivas",1,0.02
402,"San José Poaquil",6160,"Casa Formal",6139,99.66
402,"San José Poaquil",6160,"Apartamento",1,0.02
402,"San José Poaquil",6160,"Cuarto de casa de vecindad",2,0.03
402,"San José Poaquil",6160,"Rancho",2,0.03
402,"San José Poaquil",6160,"Improvisada",8,0.13
402,"San José Poaquil",6160,"Otro",5,0.08
402,"San José Poaquil",6160,"Particular no registrada",2,0.03
403,"San Martín Jilotepeque",18955,"Total de viviendas colectivas",2,0.01
403,"San Martín Jilotepeque",18955,"Casa Formal",18815,99.26
403,"San Martín Jilotepeque",18955,"Apartamento",14,0.07
403,"San Martín Jilotepeque",18955,"Cuarto de casa de vecindad",24,0.13
403,"San Martín Jilotepeque",18955,"Rancho",5,0.03
403,"San Martín Jilotepeque",18955,"Improvisada",14,0.07
403,"San Martín Jilotepeque",18955,"Otro",7,0.04
403,"San Martín Jilotepeque",18955,"Particular no registrada",74,0.39
404,"San Juan Comalapa",11491,"Total de viviendas colectivas",3,0.03
404,"San Juan Comalapa",11491,"Casa Formal",11444,99.59
404,"San Juan Comalapa",11491,"Apartamento",8,0.07
404,"San Juan Comalapa",11491,"Cuarto de casa de vecindad",1,0.01
404,"San Juan Comalapa",11491,"Rancho",3,0.03
404,"San Juan Comalapa",11491,"Improvisada",14,0.12
404,"San Juan Comalapa",11491,"Otro",10,0.09
404,"San Juan Comalapa",11491,"Particular no registrada",8,0.07
405,"Santa Apolonia",3627,"Total de viviendas colectivas",2,0.06
405,"Santa Apolonia",3627,"Casa Formal",3609,99.5
405,"Santa Apolonia",3627,"Apartamento",3,0.08
405,"Santa Apolonia",3627,"Cuarto de casa de vecindad",3,0.08
405,"Santa Apolonia",3627,"Rancho",3,0.08
405,"Santa Apolonia",3627,"Improvisada",5,0.14
405,"Santa Apolonia",3627,"Otro",0,0
405,"Santa Apolonia",3627,"Particular no registrada",2,0.06
406,"Tecpán Guatemala",18147,"Total de viviendas colectivas",7,0.04
406,"Tecpán Guatemala",18147,"Casa Formal",17861,98.42
406,"Tecpán Guatemala",18147,"Apartamento",17,0.09
406,"Tecpán Guatemala",18147,"Cuarto de casa de vecindad",182,1
406,"Tecpán Guatemala",18147,"Rancho",7,0.04
406,"Tecpán Guatemala",18147,"Improvisada",20,0.11
406,"Tecpán Guatemala",18147,"Otro",11,0.06
406,"Tecpán Guatemala",18147,"Particular no registrada",42,0.23
407,"Patzún",13626,"Total de viviendas colectivas",7,0.05
407,"Patzún",13626,"Casa Formal",13515,99.19
407,"Patzún",13626,"Apartamento",19,0.14
407,"Patzún",13626,"Cuarto de casa de vecindad",47,0.34
407,"Patzún",13626,"Rancho",7,0.05
407,"Patzún",13626,"Improvisada",10,0.07
407,"Patzún",13626,"Otro",2,0.01
407,"Patzún",13626,"Particular no registrada",19,0.14
408,"San Miguel Pochuta",1984,"Total de viviendas colectivas",1,0.05
408,"San Miguel Pochuta",1984,"Casa Formal",1973,99.45
408,"San Miguel Pochuta",1984,"Apartamento",1,0.05
408,"San Miguel Pochuta",1984,"Cuarto de casa de vecindad",0,0
408,"San Miguel Pochuta",1984,"Rancho",0,0
408,"San Miguel Pochuta",1984,"Improvisada",3,0.15
408,"San Miguel Pochuta",1984,"Otro",2,0.1
408,"San Miguel Pochuta",1984,"Particular no registrada",4,0.2
409,"Patzicía",7770,"Total de viviendas colectivas",2,0.03
409,"Patzicía",7770,"Casa Formal",7701,99.11
409,"Patzicía",7770,"Apartamento",5,0.06
409,"Patzicía",7770,"Cuarto de casa de vecindad",9,0.12
409,"Patzicía",7770,"Rancho",4,0.05
409,"Patzicía",7770,"Improvisada",14,0.18
409,"Patzicía",7770,"Otro",20,0.26
409,"Patzicía",7770,"Particular no registrada",15,0.19
410,"Santa Cruz Balanyá",2328,"Total de viviendas colectivas",1,0.04
410,"Santa Cruz Balanyá",2328,"Casa Formal",2324,99.83
410,"Santa Cruz Balanyá",2328,"Apartamento",0,0
410,"Santa Cruz Balanyá",2328,"Cuarto de casa de vecindad",0,0
410,"Santa Cruz Balanyá",2328,"Rancho",0,0
410,"Santa Cruz Balanyá",2328,"Improvisada",2,0.09
410,"Santa Cruz Balanyá",2328,"Otro",0,0
410,"Santa Cruz Balanyá",2328,"Particular no registrada",1,0.04
411,"Acatenango",5657,"Total de viviendas colectivas",3,0.05
411,"Acatenango",5657,"Casa Formal",5612,99.2
411,"Acatenango",5657,"Apartamento",3,0.05
411,"Acatenango",5657,"Cuarto de casa de vecindad",1,0.02
411,"Acatenango",5657,"Rancho",0,0
411,"Acatenango",5657,"Improvisada",6,0.11
411,"Acatenango",5657,"Otro",2,0.04
411,"Acatenango",5657,"Particular no registrada",30,0.53
412,"San Pedro Yepocapa",7436,"Total de viviendas colectivas",4,0.05
412,"San Pedro Yepocapa",7436,"Casa Formal",7391,99.39
412,"San Pedro Yepocapa",7436,"Apartamento",6,0.08
412,"San Pedro Yepocapa",7436,"Cuarto de casa de vecindad",14,0.19
412,"San Pedro Yepocapa",7436,"Rancho",4,0.05
412,"San Pedro Yepocapa",7436,"Improvisada",6,0.08
412,"San Pedro Yepocapa",7436,"Otro",0,0
412,"San Pedro Yepocapa",7436,"Particular no registrada",11,0.15
413,"San Andrés Itzapa",7694,"Total de viviendas colectivas",5,0.06
413,"San Andrés Itzapa",7694,"Casa Formal",7639,99.29
413,"San Andrés Itzapa",7694,"Apartamento",18,0.23
413,"San Andrés Itzapa",7694,"Cuarto de casa de vecindad",5,0.06
413,"San Andrés Itzapa",7694,"Rancho",4,0.05
413,"San Andrés Itzapa",7694,"Improvisada",2,0.03
413,"San Andrés Itzapa",7694,"Otro",9,0.12
413,"San Andrés Itzapa",7694,"Particular no registrada",12,0.16
414,"Parramos",3915,"Total de viviendas colectivas",3,0.08
414,"Parramos",3915,"Casa Formal",3851,98.37
414,"Parramos",3915,"Apartamento",10,0.26
414,"Parramos",3915,"Cuarto de casa de vecindad",21,0.54
414,"Parramos",3915,"Rancho",0,0
414,"Parramos",3915,"Improvisada",5,0.13
414,"Parramos",3915,"Otro",21,0.54
414,"Parramos",3915,"Particular no registrada",4,0.1
415,"Zaragoza",6438,"Total de viviendas colectivas",2,0.03
415,"Zaragoza",6438,"Casa Formal",6314,98.07
415,"Zaragoza",6438,"Apartamento",40,0.62
415,"Zaragoza",6438,"Cuarto de casa de vecindad",29,0.45
415,"Zaragoza",6438,"Rancho",1,0.02
415,"Zaragoza",6438,"Improvisada",9,0.14
415,"Zaragoza",6438,"Otro",1,0.02
415,"Zaragoza",6438,"Particular no registrada",42,0.65
416,"El Tejar",4936,"Total de viviendas colectivas",6,0.12
416,"El Tejar",4936,"Casa Formal",4884,98.95
416,"El Tejar",4936,"Apartamento",14,0.28
416,"El Tejar",4936,"Cuarto de casa de vecindad",22,0.45
416,"El Tejar",4936,"Rancho",0,0
416,"El Tejar",4936,"Improvisada",7,0.14
416,"El Tejar",4936,"Otro",2,0.04
416,"El Tejar",4936,"Particular no registrada",1,0.02
501,"Escuintla",44031,"Total de viviendas colectivas",36,0.08
501,"Escuintla",44031,"Casa Formal",41175,93.51
501,"Escuintla",44031,"Apartamento",755,1.71
501,"Escuintla",44031,"Cuarto de casa de vecindad",1197,2.72
501,"Escuintla",44031,"Rancho",24,0.05
501,"Escuintla",44031,"Improvisada",368,0.84
501,"Escuintla",44031,"Otro",70,0.16
