"Código","Municipio","Total de personas","Relacion con el Jefe","Cantidad de Personas","Porcentaje de Poblacion"
115,"Villa Nueva",433734,"Cuñada o cuñado",2399,0.55
115,"Villa Nueva",433734,"Otra(o) pariente",12113,2.79
115,"Villa Nueva",433734,"No parientes",5053,1.16
116,"Villa Canales",155422,"Jefe(a) de hogar",37768,24.3
116,"Villa Canales",155422,"Esposa(o) o pareja",27447,17.66
116,"Villa Canales",155422,"Hija(o) o hijastra(o)",71299,45.87
116,"Villa Canales",155422,"Nuera o yerno",1946,1.25
116,"Villa Canales",155422,"Nieta o nieto",8299,5.34
116,"Villa Canales",155422,"Hermana o hermano",1669,1.07
116,"Villa Canales",155422,"Madre o padre",1377,0.89
116,"Villa Canales",155422,"Suegra o suegro",694,0.45
116,"Villa Canales",155422,"Cuñada o cuñado",584,0.38
116,"Villa Canales",155422,"Otra(o) pariente",3138,2.02
116,"Villa Canales",155422,"No parientes",1172,0.75
117,"San Miguel Petapa",135447,"Jefe(a) de hogar",34546,25.51
117,"San Miguel Petapa",135447,"Esposa(o) o pareja",23625,17.44
117,"San Miguel Petapa",135447,"Hija(o) o hijastra(o)",59167,43.68
117,"San Miguel Petapa",135447,"Nuera o yerno",1497,1.11
117,"San Miguel Petapa",135447,"Nieta o nieto",6086,4.49
117,"San Miguel Petapa",135447,"Hermana o hermano",2246,1.66
117,"San Miguel Petapa",135447,"Madre o padre",1786,1.32
117,"San Miguel Petapa",135447,"Suegra o suegro",748,0.55
117,"San Miguel Petapa",135447,"Cuñada o cuñado",697,0.51
117,"San Miguel Petapa",135447,"Otra(o) pariente",3490,2.58
117,"San Miguel Petapa",135447,"No parientes",1374,1.01
201,"Guastatoya",24821,"Jefe(a) de hogar",6619,26.67
201,"Guastatoya",24821,"Esposa(o) o pareja",4408,17.76
201,"Guastatoya",24821,"Hija(o) o hijastra(o)",10516,42.37
201,"Guastatoya",24821,"Nuera o yerno",424,1.71
201,"Guastatoya",24821,"Nieta o nieto",1476,5.95
201,"Guastatoya",24821,"Hermana o hermano",303,1.22
201,"Guastatoya",24821,"Madre o padre",187,0.75
201,"Guastatoya",24821,"Suegra o suegro",66,0.27
201,"Guastatoya",24821,"Cuñada o cuñado",99,0.4
201,"Guastatoya",24821,"Otra(o) pariente",506,2.04
201,"Guastatoya",24821,"No parientes",203,0.82
202,"Morazán",12164,"Jefe(a) de hogar",3229,26.55
202,"Morazán",12164,"Esposa(o) o pareja",2229,18.32
202,"Morazán",12164,"Hija(o) o hijastra(o)",5333,43.84
202,"Morazán",12164,"Nuera o yerno",174,1.43
202,"Morazán",12164,"Nieta o nieto",715,5.88
202,"Morazán",12164,"Hermana o hermano",114,0.94
202,"Morazán",12164,"Madre o padre",53,0.44
202,"Morazán",12164,"Suegra o suegro",23,0.19
202,"Morazán",12164,"Cuñada o cuñado",20,0.16
202,"Morazán",12164,"Otra(o) pariente",196,1.61
202,"Morazán",12164,"No parientes",75,0.62
203,"San Agustín Acasaguastlán",45765,"Jefe(a) de hogar",10581,23.12
203,"San Agustín Acasaguastlán",45765,"Esposa(o) o pareja",7209,15.75
203,"San Agustín Acasaguastlán",45765,"Hija(o) o hijastra(o)",22426,49
203,"San Agustín Acasaguastlán",45765,"Nuera o yerno",613,1.34
203,"San Agustín Acasaguastlán",45765,"Nieta o nieto",2946,6.44
203,"San Agustín Acasaguastlán",45765,"Hermana o hermano",403,0.88
203,"San Agustín Acasaguastlán",45765,"Madre o padre",204,0.45
203,"San Agustín Acasaguastlán",45765,"Suegra o suegro",106,0.23
203,"San Agustín Acasaguastlán",45765,"Cuñada o cuñado",113,0.25
203,"San Agustín Acasaguastlán",45765,"Otra(o) pariente",827,1.81
203,"San Agustín Acasaguastlán",45765,"No parientes",273,0.6
204,"San Cristóbal Acasaguastlán",7199,"Jefe(a) de hogar",1890,26.25
204,"San Cristóbal Acasaguastlán",7199,"Esposa(o) o pareja",1110,15.42
204,"San Cristóbal Acasaguastlán",7199,"Hija(o) o hijastra(o)",3170,44.03
204,"San Cristóbal Acasaguastlán",7199,"Nuera o yerno",113,1.57
204,"San Cristóbal Acasaguastlán",7199,"Nieta o nieto",464,6.45
204,"San Cristóbal Acasaguastlán",7199,"Hermana o hermano",65,0.9
204,"San Cristóbal Acasaguastlán",7199,"Madre o padre",39,0.54
204,"San Cristóbal Acasaguastlán",7199,"Suegra o suegro",19,0.26
204,"San Cristóbal Acasaguastlán",7199,"Cuñada o cuñado",17,0.24
204,"San Cristóbal Acasaguastlán",7199,"Otra(o) pariente",241,3.35
204,"San Cristóbal Acasaguastlán",7199,"No parientes",66,0.92
205,"El Jícaro",13128,"Jefe(a) de hogar",3456,26.33
205,"El Jícaro",13128,"Esposa(o) o pareja",2239,17.06
205,"El Jícaro",13128,"Hija(o) o hijastra(o)",5598,42.64
205,"El Jícaro",13128,"Nuera o yerno",208,1.58
205,"El Jícaro",13128,"Nieta o nieto",955,7.27
205,"El Jícaro",13128,"Hermana o hermano",141,1.07
205,"El Jícaro",13128,"Madre o padre",93,0.71
205,"El Jícaro",13128,"Suegra o suegro",39,0.3
205,"El Jícaro",13128,"Cuñada o cuñado",37,0.28
205,"El Jícaro",13128,"Otra(o) pariente",292,2.22
205,"El Jícaro",13128,"No parientes",64,0.49
206,"Sansare",13154,"Jefe(a) de hogar",3233,24.58
206,"Sansare",13154,"Esposa(o) o pareja",2154,16.38
206,"Sansare",13154,"Hija(o) o hijastra(o)",5679,43.17
206,"Sansare",13154,"Nuera o yerno",303,2.3
206,"Sansare",13154,"Nieta o nieto",1056,8.03
206,"Sansare",13154,"Hermana o hermano",142,1.08
206,"Sansare",13154,"Madre o padre",80,0.61
206,"Sansare",13154,"Suegra o suegro",36,0.27
206,"Sansare",13154,"Cuñada o cuñado",32,0.24
206,"Sansare",13154,"Otra(o) pariente",322,2.45
206,"Sansare",13154,"No parientes",110,0.84
207,"Sanarate",39444,"Jefe(a) de hogar",9941,25.2
207,"Sanarate",39444,"Esposa(o) o pareja",6764,17.15
207,"Sanarate",39444,"Hija(o) o hijastra(o)",17200,43.61
207,"Sanarate",39444,"Nuera o yerno",781,1.98
207,"Sanarate",39444,"Nieta o nieto",2746,6.96
207,"Sanarate",39444,"Hermana o hermano",373,0.95
207,"Sanarate",39444,"Madre o padre",267,0.68
207,"Sanarate",39444,"Suegra o suegro",136,0.34
207,"Sanarate",39444,"Cuñada o cuñado",112,0.28
207,"Sanarate",39444,"Otra(o) pariente",795,2.02
207,"Sanarate",39444,"No parientes",291,0.74
208,"San Antonio la Paz",20957,"Jefe(a) de hogar",5264,25.12
208,"San Antonio la Paz",20957,"Esposa(o) o pareja",3740,17.85
208,"San Antonio la Paz",20957,"Hija(o) o hijastra(o)",9515,45.4
208,"San Antonio la Paz",20957,"Nuera o yerno",337,1.61
208,"San Antonio la Paz",20957,"Nieta o nieto",1235,5.89
208,"San Antonio la Paz",20957,"Hermana o hermano",168,0.8
208,"San Antonio la Paz",20957,"Madre o padre",102,0.49
208,"San Antonio la Paz",20957,"Suegra o suegro",58,0.28
208,"San Antonio la Paz",20957,"Cuñada o cuñado",49,0.23
208,"San Antonio la Paz",20957,"Otra(o) pariente",308,1.47
208,"San Antonio la Paz",20957,"No parientes",126,0.6
301,"Antigua Guatemala",46054,"Jefe(a) de hogar",11131,24.17
301,"Antigua Guatemala",46054,"Esposa(o) o pareja",7340,15.94
301,"Antigua Guatemala",46054,"Hija(o) o hijastra(o)",20224,43.91
301,"Antigua Guatemala",46054,"Nuera o yerno",716,1.55
301,"Antigua Guatemala",46054,"Nieta o nieto",2615,5.68
301,"Antigua Guatemala",46054,"Hermana o hermano",616,1.34
301,"Antigua Guatemala",46054,"Madre o padre",470,1.02
301,"Antigua Guatemala",46054,"Suegra o suegro",152,0.33
301,"Antigua Guatemala",46054,"Cuñada o cuñado",127,0.28
301,"Antigua Guatemala",46054,"Otra(o) pariente",1131,2.46
301,"Antigua Guatemala",46054,"No parientes",619,1.34
302,"Jocotenango",21657,"Jefe(a) de hogar",5319,24.56
302,"Jocotenango",21657,"Esposa(o) o pareja",3392,15.66
302,"Jocotenango",21657,"Hija(o) o hijastra(o)",9405,43.43
302,"Jocotenango",21657,"Nuera o yerno",363,1.68
302,"Jocotenango",21657,"Nieta o nieto",1593,7.36
302,"Jocotenango",21657,"Hermana o hermano",295,1.36
302,"Jocotenango",21657,"Madre o padre",202,0.93
302,"Jocotenango",21657,"Suegra o suegro",112,0.52
302,"Jocotenango",21657,"Cuñada o cuñado",94,0.43
302,"Jocotenango",21657,"Otra(o) pariente",610,2.82
302,"Jocotenango",21657,"No parientes",231,1.07
303,"Pastores",17814,"Jefe(a) de hogar",4331,24.31
303,"Pastores",17814,"Esposa(o) o pareja",3196,17.94
303,"Pastores",17814,"Hija(o) o hijastra(o)",8336,46.79
303,"Pastores",17814,"Nuera o yerno",196,1.1
303,"Pastores",17814,"Nieta o nieto",851,4.78
303,"Pastores",17814,"Hermana o hermano",175,0.98
303,"Pastores",17814,"Madre o padre",177,0.99
303,"Pastores",17814,"Suegra o suegro",73,0.41
303,"Pastores",17814,"Cuñada o cuñado",42,0.24
303,"Pastores",17814,"Otra(o) pariente",306,1.72
303,"Pastores",17814,"No parientes",102,0.57
304,"Sumpango",37260,"Jefe(a) de hogar",8192,21.99
304,"Sumpango",37260,"Esposa(o) o pareja",6485,17.4
304,"Sumpango",37260,"Hija(o) o hijastra(o)",18747,50.31
304,"Sumpango",37260,"Nuera o yerno",571,1.53
304,"Sumpango",37260,"Nieta o nieto",1447,3.88
304,"Sumpango",37260,"Hermana o hermano",290,0.78
304,"Sumpango",37260,"Madre o padre",298,0.8
304,"Sumpango",37260,"Suegra o suegro",77,0.21
304,"Sumpango",37260,"Cuñada o cuñado",63,0.17
304,"Sumpango",37260,"Otra(o) pariente",700,1.88
304,"Sumpango",37260,"No parientes",258,0.69
305,"Santo Domingo Xenacoj",12402,"Jefe(a) de hogar",2778,22.4
305,"Santo Domingo Xenacoj",12402,"Esposa(o) o pareja",2009,16.2
305,"Santo Domingo Xenacoj",12402,"Hija(o) o hijastra(o)",6097,49.16
305,"Santo Domingo Xenacoj",12402,"Nuera o yerno",212,1.71
305,"Santo Domingo Xenacoj",12402,"Nieta o nieto",643,5.18
305,"Santo Domingo Xenacoj",12402,"Hermana o hermano",159,1.28
305,"Santo Domingo Xenacoj",12402,"Madre o padre",122,0.98
305,"Santo Domingo Xenacoj",12402,"Suegra o suegro",51,0.41
305,"Santo Domingo Xenacoj",12402,"Cuñada o cuñado",29,0.23
305,"Santo Domingo Xenacoj",12402,"Otra(o) pariente",216,1.74
305,"Santo Domingo Xenacoj",12402,"No parientes",84,0.68
306,"Santiago Sacatepéquez",29238,"Jefe(a) de hogar",6583,22.52
306,"Santiago Sacatepéquez",29238,"Esposa(o) o pareja",5011,17.14
306,"Santiago Sacatepéquez",29238,"Hija(o) o hijastra(o)",14230,48.67
306,"Santiago Sacatepéquez",29238,"Nuera o yerno",532,1.82
306,"Santiago Sacatepéquez",29238,"Nieta o nieto",1345,4.6
306,"Santiago Sacatepéquez",29238,"Hermana o hermano",299,1.02
306,"Santiago Sacatepéquez",29238,"Madre o padre",237,0.81
306,"Santiago Sacatepéquez",29238,"Suegra o suegro",104,0.36
306,"Santiago Sacatepéquez",29238,"Cuñada o cuñado",84,0.29
306,"Santiago Sacatepéquez",29238,"Otra(o) pariente",519,1.78
306,"Santiago Sacatepéquez",29238,"No parientes",273,0.93
307,"San Bartolomé Milpas Altas",7816,"Jefe(a) de hogar",1839,23.53
307,"San Bartolomé Milpas Altas",7816,"Esposa(o) o pareja",1261,16.13
307,"San Bartolomé Milpas Altas",7816,"Hija(o) o hijastra(o)",3423,43.79
307,"San Bartolomé Milpas Altas",7816,"Nuera o yerno",120,1.54
307,"San Bartolomé Milpas Altas",7816,"Nieta o nieto",424,5.42
307,"San Bartolomé Milpas Altas",7816,"Hermana o hermano",99,1.27
307,"San Bartolomé Milpas Altas",7816,"Madre o padre",73,0.93
307,"San Bartolomé Milpas Altas",7816,"Suegra o suegro",31,0.4
307,"San Bartolomé Milpas Altas",7816,"Cuñada o cuñado",33,0.42
307,"San Bartolomé Milpas Altas",7816,"Otra(o) pariente",120,1.54
307,"San Bartolomé Milpas Altas",7816,"No parientes",54,0.69
308,"San Lucas Sacatepéquez",23369,"Jefe(a) de hogar",5937,25.41
308,"San Lucas Sacatepéquez",23369,"Esposa(o) o pareja",4112,17.6
308,"San Lucas Sacatepéquez",23369,"Hija(o) o hijastra(o)",10226,43.76
308,"San Lucas Sacatepéquez",23369,"Nuera o yerno",263,1.13
308,"San Lucas Sacatepéquez",23369,"Nieta o nieto",1015,4.34
308,"San Lucas Sacatepéquez",23369,"Hermana o hermano",246,1.05
308,"San Lucas Sacatepéquez",23369,"Madre o padre",242,1.04
308,"San Lucas Sacatepéquez",23369,"Suegra o suegro",114,0.49
308,"San Lucas Sacatepéquez",23369,"Cuñada o cuñado",64,0.27
308,"San Lucas Sacatepéquez",23369,"Otra(o) pariente",434,1.86
308,"San Lucas Sacatepéquez",23369,"No parientes",322,1.38
309,"Santa Lucía Milpas Altas",15570,"Jefe(a) de hogar",3863,24.81
309,"Santa Lucía Milpas Altas",15570,"Esposa(o) o pareja",2686,17.25
309,"Santa Lucía Milpas Altas",15570,"Hija(o) o hijastra(o)",7104,45.63
309,"Santa Lucía Milpas Altas",15570,"Nuera o yerno",184,1.18
309,"Santa Lucía Milpas Altas",15570,"Nieta o nieto",753,4.84
309,"Santa Lucía Milpas Altas",15570,"Hermana o hermano",133,0.85
309,"Santa Lucía Milpas Altas",15570,"Madre o padre",140,0.9
309,"Santa Lucía Milpas Altas",15570,"Suegra o suegro",70,0.45
309,"Santa Lucía Milpas Altas",15570,"Cuñada o cuñado",51,0.33
309,"Santa Lucía Milpas Altas",15570,"Otra(o) pariente",341,2.19
309,"Santa Lucía Milpas Altas",15570,"No parientes",165,1.06
310,"Magdalena Milpas Altas",11856,"Jefe(a) de hogar",2593,21.87
310,"Magdalena Milpas Altas",11856,"Esposa(o) o pareja",2067,17.43
310,"Magdalena Milpas Altas",11856,"Hija(o) o hijastra(o)",5676,47.87
310,"Magdalena Milpas Altas",11856,"Nuera o yerno",262,2.21
310,"Magdalena Milpas Altas",11856,"Nieta o nieto",670,5.65
310,"Magdalena Milpas Altas",11856,"Hermana o hermano",59,0.5
310,"Magdalena Milpas Altas",11856,"Madre o padre",103,0.87
310,"Magdalena Milpas Altas",11856,"Suegra o suegro",51,0.43
310,"Magdalena Milpas Altas",11856,"Cuñada o cuñado",21,0.18
310,"Magdalena Milpas Altas",11856,"Otra(o) pariente",268,2.26
310,"Magdalena Milpas Altas",11856,"No parientes",80,0.67
311,"Santa María de Jesús",21938,"Jefe(a) de hogar",4316,19.67
311,"Santa María de Jesús",21938,"Esposa(o) o pareja",3694,16.84
311,"Santa María de Jesús",21938,"Hija(o) o hijastra(o)",11637,53.04
311,"Santa María de Jesús",21938,"Nuera o yerno",524,2.39
311,"Santa María de Jesús",21938,"Nieta o nieto",964,4.39
311,"Santa María de Jesús",21938,"Hermana o hermano",116,0.53
311,"Santa María de Jesús",21938,"Madre o padre",251,1.14
311,"Santa María de Jesús",21938,"Suegra o suegro",51,0.23
311,"Santa María de Jesús",21938,"Cuñada o cuñado",56,0.26
311,"Santa María de Jesús",21938,"Otra(o) pariente",247,1.13
311,"Santa María de Jesús",21938,"No parientes",66,0.3
312,"Ciudad Vieja",33405,"Jefe(a) de hogar",8027,24.03
312,"Ciudad Vieja",33405,"Esposa(o) o pareja",5956,17.83
312,"Ciudad Vieja",33405,"Hija(o) o hijastra(o)",15350,45.95
312,"Ciudad Vieja",33405,"Nuera o yerno",512,1.53
312,"Ciudad Vieja",33405,"Nieta o nieto",1645,4.92
312,"Ciudad Vieja",33405,"Hermana o hermano",322,0.96
312,"Ciudad Vieja",33405,"Madre o padre",321,0.96
312,"Ciudad Vieja",33405,"Suegra o suegro",152,0.46
312,"Ciudad Vieja",33405,"Cuñada o cuñado",98,0.29
312,"Ciudad Vieja",33405,"Otra(o) pariente",728,2.18
312,"Ciudad Vieja",33405,"No parientes",255,0.76
313,"San Miguel Dueñas",12696,"Jefe(a) de hogar",3013,23.73
313,"San Miguel Dueñas",12696,"Esposa(o) o pareja",2207,17.38
313,"San Miguel Dueñas",12696,"Hija(o) o hijastra(o)",5773,45.47
313,"San Miguel Dueñas",12696,"Nuera o yerno",220,1.73
313,"San Miguel Dueñas",12696,"Nieta o nieto",764,6.02
313,"San Miguel Dueñas",12696,"Hermana o hermano",103,0.81
313,"San Miguel Dueñas",12696,"Madre o padre",134,1.06
313,"San Miguel Dueñas",12696,"Suegra o suegro",56,0.44
313,"San Miguel Dueñas",12696,"Cuñada o cuñado",50,0.39
313,"San Miguel Dueñas",12696,"Otra(o) pariente",253,1.99
313,"San Miguel Dueñas",12696,"No parientes",85,0.67
314,"San Juan Alotenango",23986,"Jefe(a) de hogar",5384,22.45
314,"San Juan Alotenango",23986,"Esposa(o) o pareja",4259,17.76
314,"San Juan Alotenango",23986,"Hija(o) o hijastra(o)",11758,49.02
314,"San Juan Alotenango",23986,"Nuera o yerno",247,1.03
314,"San Juan Alotenango",23986,"Nieta o nieto",829,3.46
314,"San Juan Alotenango",23986,"Hermana o hermano",132,0.55
314,"San Juan Alotenango",23986,"Madre o padre",241,1
314,"San Juan Alotenango",23986,"Suegra o suegro",85,0.35
