"Código","Municipio","Causa de Inasistencia 4-29 años","Cantidad de Personas"
112,"Chuarrancho","Los padres / pareja no quieren",39
112,"Chuarrancho","Quehaceres del hogar",77
112,"Chuarrancho","No le gusta / no quiere ir",714
112,"Chuarrancho","Ya termino sus estudios",32
112,"Chuarrancho","Otra causa",745
112,"Chuarrancho","No especificado",543
113,"Fraijanes","Falta de dinero",1701
113,"Fraijanes","Tiene que trabajar",3631
113,"Fraijanes","No hay escuela, instituto o universidad",71
113,"Fraijanes","Los padres / pareja no quieren",37
113,"Fraijanes","Quehaceres del hogar",473
113,"Fraijanes","No le gusta / no quiere ir",822
113,"Fraijanes","Ya termino sus estudios",393
113,"Fraijanes","Otra causa",2557
113,"Fraijanes","No especificado",3219
114,"Amatitlán","Falta de dinero",4937
114,"Amatitlán","Tiene que trabajar",7941
114,"Amatitlán","No hay escuela, instituto o universidad",19
114,"Amatitlán","Los padres / pareja no quieren",161
114,"Amatitlán","Quehaceres del hogar",1069
114,"Amatitlán","No le gusta / no quiere ir",2349
114,"Amatitlán","Ya termino sus estudios",506
114,"Amatitlán","Otra causa",5378
114,"Amatitlán","No especificado",5045
115,"Villa Nueva","Falta de dinero",10909
115,"Villa Nueva","Tiene que trabajar",29394
115,"Villa Nueva","No hay escuela, instituto o universidad",82
115,"Villa Nueva","Los padres / pareja no quieren",440
115,"Villa Nueva","Quehaceres del hogar",3410
115,"Villa Nueva","No le gusta / no quiere ir",5153
115,"Villa Nueva","Ya termino sus estudios",2042
115,"Villa Nueva","Otra causa",17285
115,"Villa Nueva","No especificado",19636
116,"Villa Canales","Falta de dinero",7280
116,"Villa Canales","Tiene que trabajar",11101
116,"Villa Canales","No hay escuela, instituto o universidad",56
116,"Villa Canales","Los padres / pareja no quieren",233
116,"Villa Canales","Quehaceres del hogar",1765
116,"Villa Canales","No le gusta / no quiere ir",3329
116,"Villa Canales","Ya termino sus estudios",533
116,"Villa Canales","Otra causa",8213
116,"Villa Canales","No especificado",7398
117,"San Miguel Petapa","Falta de dinero",3603
117,"San Miguel Petapa","Tiene que trabajar",9030
117,"San Miguel Petapa","No hay escuela, instituto o universidad",69
117,"San Miguel Petapa","Los padres / pareja no quieren",137
117,"San Miguel Petapa","Quehaceres del hogar",1008
117,"San Miguel Petapa","No le gusta / no quiere ir",1308
117,"San Miguel Petapa","Ya termino sus estudios",560
117,"San Miguel Petapa","Otra causa",4433
117,"San Miguel Petapa","No especificado",6261
201,"Guastatoya","Falta de dinero",633
201,"Guastatoya","Tiene que trabajar",1338
201,"Guastatoya","No hay escuela, instituto o universidad",11
201,"Guastatoya","Los padres / pareja no quieren",40
201,"Guastatoya","Quehaceres del hogar",147
201,"Guastatoya","No le gusta / no quiere ir",526
201,"Guastatoya","Ya termino sus estudios",136
201,"Guastatoya","Otra causa",787
201,"Guastatoya","No especificado",1257
202,"Morazán","Falta de dinero",602
202,"Morazán","Tiene que trabajar",485
202,"Morazán","No hay escuela, instituto o universidad",161
202,"Morazán","Los padres / pareja no quieren",39
202,"Morazán","Quehaceres del hogar",140
202,"Morazán","No le gusta / no quiere ir",560
202,"Morazán","Ya termino sus estudios",36
202,"Morazán","Otra causa",663
202,"Morazán","No especificado",435
203,"San Agustín Acasaguastlán","Falta de dinero",2276
203,"San Agustín Acasaguastlán","Tiene que trabajar",2084
203,"San Agustín Acasaguastlán","No hay escuela, instituto o universidad",121
203,"San Agustín Acasaguastlán","Los padres / pareja no quieren",109
203,"San Agustín Acasaguastlán","Quehaceres del hogar",672
203,"San Agustín Acasaguastlán","No le gusta / no quiere ir",1290
203,"San Agustín Acasaguastlán","Ya termino sus estudios",390
203,"San Agustín Acasaguastlán","Otra causa",2326
203,"San Agustín Acasaguastlán","No especificado",2884
204,"San Cristóbal Acasaguastlán","Falta de dinero",398
204,"San Cristóbal Acasaguastlán","Tiene que trabajar",282
204,"San Cristóbal Acasaguastlán","No hay escuela, instituto o universidad",42
204,"San Cristóbal Acasaguastlán","Los padres / pareja no quieren",10
204,"San Cristóbal Acasaguastlán","Quehaceres del hogar",62
204,"San Cristóbal Acasaguastlán","No le gusta / no quiere ir",168
204,"San Cristóbal Acasaguastlán","Ya termino sus estudios",96
204,"San Cristóbal Acasaguastlán","Otra causa",283
204,"San Cristóbal Acasaguastlán","No especificado",280
205,"El Jícaro","Falta de dinero",676
205,"El Jícaro","Tiene que trabajar",568
205,"El Jícaro","No hay escuela, instituto o universidad",23
205,"El Jícaro","Los padres / pareja no quieren",35
205,"El Jícaro","Quehaceres del hogar",99
205,"El Jícaro","No le gusta / no quiere ir",329
205,"El Jícaro","Ya termino sus estudios",219
205,"El Jícaro","Otra causa",478
205,"El Jícaro","No especificado",703
206,"Sansare","Falta de dinero",557
206,"Sansare","Tiene que trabajar",487
206,"Sansare","No hay escuela, instituto o universidad",5
206,"Sansare","Los padres / pareja no quieren",6
206,"Sansare","Quehaceres del hogar",173
206,"Sansare","No le gusta / no quiere ir",181
206,"Sansare","Ya termino sus estudios",172
206,"Sansare","Otra causa",506
206,"Sansare","No especificado",946
207,"Sanarate","Falta de dinero",1382
207,"Sanarate","Tiene que trabajar",2051
207,"Sanarate","No hay escuela, instituto o universidad",55
207,"Sanarate","Los padres / pareja no quieren",86
207,"Sanarate","Quehaceres del hogar",323
207,"Sanarate","No le gusta / no quiere ir",1255
207,"Sanarate","Ya termino sus estudios",178
207,"Sanarate","Otra causa",1889
207,"Sanarate","No especificado",1655
208,"San Antonio la Paz","Falta de dinero",934
208,"San Antonio la Paz","Tiene que trabajar",1123
208,"San Antonio la Paz","No hay escuela, instituto o universidad",57
208,"San Antonio la Paz","Los padres / pareja no quieren",90
208,"San Antonio la Paz","Quehaceres del hogar",255
208,"San Antonio la Paz","No le gusta / no quiere ir",894
208,"San Antonio la Paz","Ya termino sus estudios",31
208,"San Antonio la Paz","Otra causa",1157
208,"San Antonio la Paz","No especificado",1054
301,"Antigua Guatemala","Falta de dinero",1434
301,"Antigua Guatemala","Tiene que trabajar",2536
301,"Antigua Guatemala","No hay escuela, instituto o universidad",8
301,"Antigua Guatemala","Los padres / pareja no quieren",60
301,"Antigua Guatemala","Quehaceres del hogar",271
301,"Antigua Guatemala","No le gusta / no quiere ir",891
301,"Antigua Guatemala","Ya termino sus estudios",385
301,"Antigua Guatemala","Otra causa",1644
301,"Antigua Guatemala","No especificado",1922
302,"Jocotenango","Falta de dinero",418
302,"Jocotenango","Tiene que trabajar",1267
302,"Jocotenango","No hay escuela, instituto o universidad",18
302,"Jocotenango","Los padres / pareja no quieren",53
302,"Jocotenango","Quehaceres del hogar",119
302,"Jocotenango","No le gusta / no quiere ir",247
302,"Jocotenango","Ya termino sus estudios",288
302,"Jocotenango","Otra causa",443
302,"Jocotenango","No especificado",965
303,"Pastores","Falta de dinero",963
303,"Pastores","Tiene que trabajar",1053
303,"Pastores","No hay escuela, instituto o universidad",5
303,"Pastores","Los padres / pareja no quieren",20
303,"Pastores","Quehaceres del hogar",133
303,"Pastores","No le gusta / no quiere ir",405
303,"Pastores","Ya termino sus estudios",82
303,"Pastores","Otra causa",961
303,"Pastores","No especificado",643
304,"Sumpango","Falta de dinero",2595
304,"Sumpango","Tiene que trabajar",2214
304,"Sumpango","No hay escuela, instituto o universidad",8
304,"Sumpango","Los padres / pareja no quieren",55
304,"Sumpango","Quehaceres del hogar",219
304,"Sumpango","No le gusta / no quiere ir",1192
304,"Sumpango","Ya termino sus estudios",187
304,"Sumpango","Otra causa",1851
304,"Sumpango","No especificado",2290
305,"Santo Domingo Xenacoj","Falta de dinero",707
305,"Santo Domingo Xenacoj","Tiene que trabajar",752
305,"Santo Domingo Xenacoj","No hay escuela, instituto o universidad",2
305,"Santo Domingo Xenacoj","Los padres / pareja no quieren",24
305,"Santo Domingo Xenacoj","Quehaceres del hogar",32
305,"Santo Domingo Xenacoj","No le gusta / no quiere ir",287
305,"Santo Domingo Xenacoj","Ya termino sus estudios",32
305,"Santo Domingo Xenacoj","Otra causa",620
305,"Santo Domingo Xenacoj","No especificado",942
306,"Santiago Sacatepéquez","Falta de dinero",1624
306,"Santiago Sacatepéquez","Tiene que trabajar",1803
306,"Santiago Sacatepéquez","No hay escuela, instituto o universidad",2
306,"Santiago Sacatepéquez","Los padres / pareja no quieren",90
306,"Santiago Sacatepéquez","Quehaceres del hogar",114
306,"Santiago Sacatepéquez","No le gusta / no quiere ir",1136
306,"Santiago Sacatepéquez","Ya termino sus estudios",269
306,"Santiago Sacatepéquez","Otra causa",1365
306,"Santiago Sacatepéquez","No especificado",1550
307,"San Bartolomé Milpas Altas","Falta de dinero",242
307,"San Bartolomé Milpas Altas","Tiene que trabajar",481
307,"San Bartolomé Milpas Altas","No hay escuela, instituto o universidad",2
307,"San Bartolomé Milpas Altas","Los padres / pareja no quieren",3
307,"San Bartolomé Milpas Altas","Quehaceres del hogar",50
307,"San Bartolomé Milpas Altas","No le gusta / no quiere ir",107
307,"San Bartolomé Milpas Altas","Ya termino sus estudios",27
307,"San Bartolomé Milpas Altas","Otra causa",319
307,"San Bartolomé Milpas Altas","No especificado",290
308,"San Lucas Sacatepéquez","Falta de dinero",572
308,"San Lucas Sacatepéquez","Tiene que trabajar",1193
308,"San Lucas Sacatepéquez","No hay escuela, instituto o universidad",10
308,"San Lucas Sacatepéquez","Los padres / pareja no quieren",32
308,"San Lucas Sacatepéquez","Quehaceres del hogar",71
308,"San Lucas Sacatepéquez","No le gusta / no quiere ir",292
308,"San Lucas Sacatepéquez","Ya termino sus estudios",226
308,"San Lucas Sacatepéquez","Otra causa",807
308,"San Lucas Sacatepéquez","No especificado",930
309,"Santa Lucía Milpas Altas","Falta de dinero",440
309,"Santa Lucía Milpas Altas","Tiene que trabajar",1124
309,"Santa Lucía Milpas Altas","No hay escuela, instituto o universidad",3
309,"Santa Lucía Milpas Altas","Los padres / pareja no quieren",10
309,"Santa Lucía Milpas Altas","Quehaceres del hogar",130
309,"Santa Lucía Milpas Altas","No le gusta / no quiere ir",390
309,"Santa Lucía Milpas Altas","Ya termino sus estudios",62
309,"Santa Lucía Milpas Altas","Otra causa",507
309,"Santa Lucía Milpas Altas","No especificado",800
310,"Magdalena Milpas Altas","Falta de dinero",264
310,"Magdalena Milpas Altas","Tiene que trabajar",1058
310,"Magdalena Milpas Altas","No hay escuela, instituto o universidad",0
310,"Magdalena Milpas Altas","Los padres / pareja no quieren",9
310,"Magdalena Milpas Altas","Quehaceres del hogar",467
310,"Magdalena Milpas Altas","No le gusta / no quiere ir",278
310,"Magdalena Milpas Altas","Ya termino sus estudios",121
310,"Magdalena Milpas Altas","Otra causa",379
310,"Magdalena Milpas Altas","No especificado",346
311,"Santa María de Jesús","Falta de dinero",1819
311,"Santa María de Jesús","Tiene que trabajar",1011
311,"Santa María de Jesús","No hay escuela, instituto o universidad",1
311,"Santa María de Jesús","Los padres / pareja no quieren",134
311,"Santa María de Jesús","Quehaceres del hogar",71
311,"Santa María de Jesús","No le gusta / no quiere ir",2090
311,"Santa María de Jesús","Ya termino sus estudios",166
311,"Santa María de Jesús","Otra causa",1558
311,"Santa María de Jesús","No especificado",927
312,"Ciudad Vieja","Falta de dinero",1542
312,"Ciudad Vieja","Tiene que trabajar",2220
312,"Ciudad Vieja","No hay escuela, instituto o universidad",4
312,"Ciudad Vieja","Los padres / pareja no quieren",32
312,"Ciudad Vieja","Quehaceres del hogar",310
312,"Ciudad Vieja","No le gusta / no quiere ir",914
312,"Ciudad Vieja","Ya termino sus estudios",183
312,"Ciudad Vieja","Otra causa",1183
312,"Ciudad Vieja","No especificado",1977
313,"San Miguel Dueñas","Falta de dinero",551
313,"San Miguel Dueñas","Tiene que trabajar",898
313,"San Miguel Dueñas","No hay escuela, instituto o universidad",1
313,"San Miguel Dueñas","Los padres / pareja no quieren",37
313,"San Miguel Dueñas","Quehaceres del hogar",159
313,"San Miguel Dueñas","No le gusta / no quiere ir",330
313,"San Miguel Dueñas","Ya termino sus estudios",89
313,"San Miguel Dueñas","Otra causa",595
313,"San Miguel Dueñas","No especificado",618
314,"San Juan Alotenango","Falta de dinero",1752
314,"San Juan Alotenango","Tiene que trabajar",1532
314,"San Juan Alotenango","No hay escuela, instituto o universidad",7
314,"San Juan Alotenango","Los padres / pareja no quieren",92
314,"San Juan Alotenango","Quehaceres del hogar",260
314,"San Juan Alotenango","No le gusta / no quiere ir",755
314,"San Juan Alotenango","Ya termino sus estudios",69
314,"San Juan Alotenango","Otra causa",1513
314,"San Juan Alotenango","No especificado",1021
315,"San Antonio Aguas Calientes","Falta de dinero",467
315,"San Antonio Aguas Calientes","Tiene que trabajar",771
315,"San Antonio Aguas Calientes","No hay escuela, instituto o universidad",4
315,"San Antonio Aguas Calientes","Los padres / pareja no quieren",5
315,"San Antonio Aguas Calientes","Quehaceres del hogar",82
315,"San Antonio Aguas Calientes","No le gusta / no quiere ir",268
315,"San Antonio Aguas Calientes","Ya termino sus estudios",52
315,"San Antonio Aguas Calientes","Otra causa",389
315,"San Antonio Aguas Calientes","No especificado",539
316,"Santa Catarina Barahona","Falta de dinero",179
316,"Santa Catarina Barahona","Tiene que trabajar",148
316,"Santa Catarina Barahona","No hay escuela, instituto o universidad",0
316,"Santa Catarina Barahona","Los padres / pareja no quieren",5
316,"Santa Catarina Barahona","Quehaceres del hogar",9
316,"Santa Catarina Barahona","No le gusta / no quiere ir",115
316,"Santa Catarina Barahona","Ya termino sus estudios",4
316,"Santa Catarina Barahona","Otra causa",151
316,"Santa Catarina Barahona","No especificado",318
401,"Chimaltenango","Falta de dinero",5945
401,"Chimaltenango","Tiene que trabajar",5424
401,"Chimaltenango","No hay escuela, instituto o universidad",37
401,"Chimaltenango","Los padres / pareja no quieren",120
401,"Chimaltenango","Quehaceres del hogar",632
401,"Chimaltenango","No le gusta / no quiere ir",2983
401,"Chimaltenango","Ya termino sus estudios",596
401,"Chimaltenango","Otra causa",4781
401,"Chimaltenango","No especificado",3772
402,"San José Poaquil","Falta de dinero",3165
402,"San José Poaquil","Tiene que trabajar",472
402,"San José Poaquil","No hay escuela, instituto o universidad",15
402,"San José Poaquil","Los padres / pareja no quieren",96
402,"San José Poaquil","Quehaceres del hogar",29
402,"San José Poaquil","No le gusta / no quiere ir",1911
402,"San José Poaquil","Ya termino sus estudios",295
402,"San José Poaquil","Otra causa",1735
402,"San José Poaquil","No especificado",788
403,"San Martín Jilotepeque","Falta de dinero",7583
403,"San Martín Jilotepeque","Tiene que trabajar",2493
403,"San Martín Jilotepeque","No hay escuela, instituto o universidad",103
403,"San Martín Jilotepeque","Los padres / pareja no quieren",253
403,"San Martín Jilotepeque","Quehaceres del hogar",253
403,"San Martín Jilotepeque","No le gusta / no quiere ir",4770
403,"San Martín Jilotepeque","Ya termino sus estudios",728
403,"San Martín Jilotepeque","Otra causa",5218
403,"San Martín Jilotepeque","No especificado",2204
404,"San Juan Comalapa","Falta de dinero",3438
404,"San Juan Comalapa","Tiene que trabajar",1795
404,"San Juan Comalapa","No hay escuela, instituto o universidad",14
404,"San Juan Comalapa","Los padres / pareja no quieren",183
404,"San Juan Comalapa","Quehaceres del hogar",103
404,"San Juan Comalapa","No le gusta / no quiere ir",2764
404,"San Juan Comalapa","Ya termino sus estudios",319
404,"San Juan Comalapa","Otra causa",2909
404,"San Juan Comalapa","No especificado",2151
405,"Santa Apolonia","Falta de dinero",2172
405,"Santa Apolonia","Tiene que trabajar",477
405,"Santa Apolonia","No hay escuela, instituto o universidad",13
405,"Santa Apolonia","Los padres / pareja no quieren",58
405,"Santa Apolonia","Quehaceres del hogar",73
405,"Santa Apolonia","No le gusta / no quiere ir",1427
405,"Santa Apolonia","Ya termino sus estudios",89
405,"Santa Apolonia","Otra causa",1608
405,"Santa Apolonia","No especificado",593
406,"Tecpán Guatemala","Falta de dinero",9537
406,"Tecpán Guatemala","Tiene que trabajar",3105
406,"Tecpán Guatemala","No hay escuela, instituto o universidad",25
406,"Tecpán Guatemala","Los padres / pareja no quieren",349
406,"Tecpán Guatemala","Quehaceres del hogar",501
406,"Tecpán Guatemala","No le gusta / no quiere ir",6392
406,"Tecpán Guatemala","Ya termino sus estudios",786
406,"Tecpán Guatemala","Otra causa",7631
406,"Tecpán Guatemala","No especificado",3069
407,"Patzún","Falta de dinero",5187
407,"Patzún","Tiene que trabajar",1563
407,"Patzún","No hay escuela, instituto o universidad",23
407,"Patzún","Los padres / pareja no quieren",171
407,"Patzún","Quehaceres del hogar",254
407,"Patzún","No le gusta / no quiere ir",4893
407,"Patzún","Ya termino sus estudios",416
407,"Patzún","Otra causa",3238
407,"Patzún","No especificado",2473
408,"San Miguel Pochuta","Falta de dinero",592
408,"San Miguel Pochuta","Tiene que trabajar",341
408,"San Miguel Pochuta","No hay escuela, instituto o universidad",18
408,"San Miguel Pochuta","Los padres / pareja no quieren",41
408,"San Miguel Pochuta","Quehaceres del hogar",35
408,"San Miguel Pochuta","No le gusta / no quiere ir",388
408,"San Miguel Pochuta","Ya termino sus estudios",93
408,"San Miguel Pochuta","Otra causa",528
408,"San Miguel Pochuta","No especificado",298
409,"Patzicía","Falta de dinero",2749
409,"Patzicía","Tiene que trabajar",1319
409,"Patzicía","No hay escuela, instituto o universidad",13
409,"Patzicía","Los padres / pareja no quieren",81
409,"Patzicía","Quehaceres del hogar",85
409,"Patzicía","No le gusta / no quiere ir",2517
409,"Patzicía","Ya termino sus estudios",179
409,"Patzicía","Otra causa",2117
409,"Patzicía","No especificado",1343
410,"Santa Cruz Balanyá","Falta de dinero",766
410,"Santa Cruz Balanyá","Tiene que trabajar",347
410,"Santa Cruz Balanyá","No hay escuela, instituto o universidad",1
410,"Santa Cruz Balanyá","Los padres / pareja no quieren",11
410,"Santa Cruz Balanyá","Quehaceres del hogar",13
410,"Santa Cruz Balanyá","No le gusta / no quiere ir",549
410,"Santa Cruz Balanyá","Ya termino sus estudios",32
410,"Santa Cruz Balanyá","Otra causa",523
410,"Santa Cruz Balanyá","No especificado",303
411,"Acatenango","Falta de dinero",1647
411,"Acatenango","Tiene que trabajar",808
411,"Acatenango","No hay escuela, instituto o universidad",6
411,"Acatenango","Los padres / pareja no quieren",44
411,"Acatenango","Quehaceres del hogar",135
411,"Acatenango","No le gusta / no quiere ir",1757
411,"Acatenango","Ya termino sus estudios",238
411,"Acatenango","Otra causa",1773
411,"Acatenango","No especificado",996
412,"San Pedro Yepocapa","Falta de dinero",3583
412,"San Pedro Yepocapa","Tiene que trabajar",1254
412,"San Pedro Yepocapa","No hay escuela, instituto o universidad",119
412,"San Pedro Yepocapa","Los padres / pareja no quieren",85
412,"San Pedro Yepocapa","Quehaceres del hogar",327
412,"San Pedro Yepocapa","No le gusta / no quiere ir",2070
412,"San Pedro Yepocapa","Ya termino sus estudios",134
412,"San Pedro Yepocapa","Otra causa",2297
412,"San Pedro Yepocapa","No especificado",951
413,"San Andrés Itzapa","Falta de dinero",2601
413,"San Andrés Itzapa","Tiene que trabajar",1144
413,"San Andrés Itzapa","No hay escuela, instituto o universidad",7
413,"San Andrés Itzapa","Los padres / pareja no quieren",102
413,"San Andrés Itzapa","Quehaceres del hogar",128
413,"San Andrés Itzapa","No le gusta / no quiere ir",2214
413,"San Andrés Itzapa","Ya termino sus estudios",236
413,"San Andrés Itzapa","Otra causa",2153
413,"San Andrés Itzapa","No especificado",1292
414,"Parramos","Falta de dinero",1322
414,"Parramos","Tiene que trabajar",1036
414,"Parramos","No hay escuela, instituto o universidad",22
414,"Parramos","Los padres / pareja no quieren",19
414,"Parramos","Quehaceres del hogar",258
414,"Parramos","No le gusta / no quiere ir",342
414,"Parramos","Ya termino sus estudios",88
414,"Parramos","Otra causa",793
414,"Parramos","No especificado",608
415,"Zaragoza","Falta de dinero",1228
415,"Zaragoza","Tiene que trabajar",1451
415,"Zaragoza","No hay escuela, instituto o universidad",62
415,"Zaragoza","Los padres / pareja no quieren",74
415,"Zaragoza","Quehaceres del hogar",190
415,"Zaragoza","No le gusta / no quiere ir",976
415,"Zaragoza","Ya termino sus estudios",105
415,"Zaragoza","Otra causa",1705
415,"Zaragoza","No especificado",933
416,"El Tejar","Falta de dinero",1040
416,"El Tejar","Tiene que trabajar",818
416,"El Tejar","No hay escuela, instituto o universidad",5
416,"El Tejar","Los padres / pareja no quieren",19
416,"El Tejar","Quehaceres del hogar",28
416,"El Tejar","No le gusta / no quiere ir",431
416,"El Tejar","Ya termino sus estudios",45
416,"El Tejar","Otra causa",930
416,"El Tejar","No especificado",1396
501,"Escuintla","Falta de dinero",7245
501,"Escuintla","Tiene que trabajar",10073
501,"Escuintla","No hay escuela, instituto o universidad",86
501,"Escuintla","Los padres / pareja no quieren",345
501,"Escuintla","Quehaceres del hogar",1532
501,"Escuintla","No le gusta / no quiere ir",2974
501,"Escuintla","Ya termino sus estudios",1011
501,"Escuintla","Otra causa",6853
501,"Escuintla","No especificado",7606
502,"Santa Lucía Cotzumalguapa","Falta de dinero",7869
502,"Santa Lucía Cotzumalguapa","Tiene que trabajar",5659
502,"Santa Lucía Cotzumalguapa","No hay escuela, instituto o universidad",151
502,"Santa Lucía Cotzumalguapa","Los padres / pareja no quieren",329
502,"Santa Lucía Cotzumalguapa","Quehaceres del hogar",1214
502,"Santa Lucía Cotzumalguapa","No le gusta / no quiere ir",3446
502,"Santa Lucía Cotzumalguapa","Ya termino sus estudios",619
502,"Santa Lucía Cotzumalguapa","Otra causa",5902
502,"Santa Lucía Cotzumalguapa","No especificado",6010
503,"La Democracia","Falta de dinero",1387
503,"La Democracia","Tiene que trabajar",1232
503,"La Democracia","No hay escuela, instituto o universidad",8
503,"La Democracia","Los padres / pareja no quieren",87
503,"La Democracia","Quehaceres del hogar",299
503,"La Democracia","No le gusta / no quiere ir",725
503,"La Democracia","Ya termino sus estudios",227
503,"La Democracia","Otra causa",1455
503,"La Democracia","No especificado",853
504,"Siquinalá","Falta de dinero",1682
504,"Siquinalá","Tiene que trabajar",1079
504,"Siquinalá","No hay escuela, instituto o universidad",4
504,"Siquinalá","Los padres / pareja no quieren",58
504,"Siquinalá","Quehaceres del hogar",111
504,"Siquinalá","No le gusta / no quiere ir",409
504,"Siquinalá","Ya termino sus estudios",66
504,"Siquinalá","Otra causa",1171
504,"Siquinalá","No especificado",1546
505,"Masagua","Falta de dinero",2673
505,"Masagua","Tiene que trabajar",2283
505,"Masagua","No hay escuela, instituto o universidad",3
505,"Masagua","Los padres / pareja no quieren",187
505,"Masagua","Quehaceres del hogar",515
505,"Masagua","No le gusta / no quiere ir",1358
505,"Masagua","Ya termino sus estudios",332
505,"Masagua","Otra causa",2523
505,"Masagua","No especificado",2641
506,"Tiquisate","Falta de dinero",3807
506,"Tiquisate","Tiene que trabajar",3343
506,"Tiquisate","No hay escuela, instituto o universidad",17
