"Código","Departamento","Total de mujeres en edad fértil","Situación","Cantidad de Mujeres","Porcentaje de Mujeres"
7,"Sololá",121919,"Con  2 hijos nacidos",17465,0.14
8,"Totonicapán",117239,"Con  2 hijos nacidos",15688,0.13
9,"Quetzaltenango",227270,"Con  2 hijos nacidos",41587,0.18
10,"Suchitepéquez",146850,"Con  2 hijos nacidos",26443,0.18
11,"Retalhuleu",87547,"Con  2 hijos nacidos",16246,0.19
12,"San Marcos",263600,"Con  2 hijos nacidos",43344,0.16
13,"Huehuetenango",310013,"Con  2 hijos nacidos",48118,0.16
14,"Quiché",250434,"Con  2 hijos nacidos",33803,0.13
15,"Baja Verapaz",80432,"Con  2 hijos nacidos",13517,0.17
16,"Alta Verapaz",312101,"Con  2 hijos nacidos",48316,0.15
17,"Petén",144885,"Con  2 hijos nacidos",23717,0.16
18,"Izabal",108996,"Con  2 hijos nacidos",20380,0.19
19,"Zacapa",65799,"Con  2 hijos nacidos",13770,0.21
20,"Chiquimula",110482,"Con  2 hijos nacidos",18431,0.17
21,"Jalapa",91914,"Con  2 hijos nacidos",14894,0.16
22,"Jutiapa",131779,"Con  2 hijos nacidos",23432,0.18
1,"Guatemala",867729,"Con  3 hijos nacidos",181794,0.21
2,"El Progreso",47188,"Con  3 hijos nacidos",8871,0.19
3,"Sacatepéquez",93790,"Con  3 hijos nacidos",16724,0.18
4,"Chimaltenango",170240,"Con  3 hijos nacidos",23386,0.14
5,"Escuintla",199250,"Con  3 hijos nacidos",39244,0.2
6,"Santa Rosa",105699,"Con  3 hijos nacidos",18704,0.18
7,"Sololá",121919,"Con  3 hijos nacidos",14075,0.12
8,"Totonicapán",117239,"Con  3 hijos nacidos",13224,0.11
9,"Quetzaltenango",227270,"Con  3 hijos nacidos",37545,0.17
10,"Suchitepéquez",146850,"Con  3 hijos nacidos",25770,0.18
11,"Retalhuleu",87547,"Con  3 hijos nacidos",15896,0.18
12,"San Marcos",263600,"Con  3 hijos nacidos",40899,0.16
13,"Huehuetenango",310013,"Con  3 hijos nacidos",42676,0.14
14,"Quiché",250434,"Con  3 hijos nacidos",28368,0.11
15,"Baja Verapaz",80432,"Con  3 hijos nacidos",11965,0.15
16,"Alta Verapaz",312101,"Con  3 hijos nacidos",39339,0.13
17,"Petén",144885,"Con  3 hijos nacidos",19538,0.13
18,"Izabal",108996,"Con  3 hijos nacidos",18414,0.17
19,"Zacapa",65799,"Con  3 hijos nacidos",12305,0.19
20,"Chiquimula",110482,"Con  3 hijos nacidos",15802,0.14
21,"Jalapa",91914,"Con  3 hijos nacidos",12655,0.14
22,"Jutiapa",131779,"Con  3 hijos nacidos",21088,0.16
1,"Guatemala",867729,"Con  4 hijos nacidos",97486,0.11
2,"El Progreso",47188,"Con  4 hijos nacidos",5395,0.11
3,"Sacatepéquez",93790,"Con  4 hijos nacidos",9434,0.1
4,"Chimaltenango",170240,"Con  4 hijos nacidos",16260,0.1
5,"Escuintla",199250,"Con  4 hijos nacidos",23045,0.12
6,"Santa Rosa",105699,"Con  4 hijos nacidos",12316,0.12
7,"Sololá",121919,"Con  4 hijos nacidos",10481,0.09
8,"Totonicapán",117239,"Con  4 hijos nacidos",10367,0.09
9,"Quetzaltenango",227270,"Con  4 hijos nacidos",24357,0.11
10,"Suchitepéquez",146850,"Con  4 hijos nacidos",16367,0.11
11,"Retalhuleu",87547,"Con  4 hijos nacidos",9801,0.11
12,"San Marcos",263600,"Con  4 hijos nacidos",29824,0.11
13,"Huehuetenango",310013,"Con  4 hijos nacidos",32238,0.1
14,"Quiché",250434,"Con  4 hijos nacidos",22646,0.09
15,"Baja Verapaz",80432,"Con  4 hijos nacidos",8685,0.11
16,"Alta Verapaz",312101,"Con  4 hijos nacidos",28798,0.09
17,"Petén",144885,"Con  4 hijos nacidos",13569,0.09
18,"Izabal",108996,"Con  4 hijos nacidos",10994,0.1
19,"Zacapa",65799,"Con  4 hijos nacidos",7212,0.11
20,"Chiquimula",110482,"Con  4 hijos nacidos",10952,0.1
21,"Jalapa",91914,"Con  4 hijos nacidos",8857,0.1
22,"Jutiapa",131779,"Con  4 hijos nacidos",14411,0.11
1,"Guatemala",867729,"Con  5 o más hijos nacidos",133612,0.15
2,"El Progreso",47188,"Con  5 o más hijos nacidos",12228,0.26
3,"Sacatepéquez",93790,"Con  5 o más hijos nacidos",19199,0.2
4,"Chimaltenango",170240,"Con  5 o más hijos nacidos",49705,0.29
5,"Escuintla",199250,"Con  5 o más hijos nacidos",45416,0.23
6,"Santa Rosa",105699,"Con  5 o más hijos nacidos",29506,0.28
7,"Sololá",121919,"Con  5 o más hijos nacidos",34337,0.28
8,"Totonicapán",117239,"Con  5 o más hijos nacidos",37314,0.32
9,"Quetzaltenango",227270,"Con  5 o más hijos nacidos",59526,0.26
10,"Suchitepéquez",146850,"Con  5 o más hijos nacidos",42094,0.29
11,"Retalhuleu",87547,"Con  5 o más hijos nacidos",24514,0.28
12,"San Marcos",263600,"Con  5 o más hijos nacidos",90893,0.34
13,"Huehuetenango",310013,"Con  5 o más hijos nacidos",102155,0.33
14,"Quiché",250434,"Con  5 o más hijos nacidos",84373,0.34
15,"Baja Verapaz",80432,"Con  5 o más hijos nacidos",24892,0.31
16,"Alta Verapaz",312101,"Con  5 o más hijos nacidos",96471,0.31
17,"Petén",144885,"Con  5 o más hijos nacidos",41700,0.29
18,"Izabal",108996,"Con  5 o más hijos nacidos",29262,0.27
19,"Zacapa",65799,"Con  5 o más hijos nacidos",16746,0.25
20,"Chiquimula",110482,"Con  5 o más hijos nacidos",33653,0.3
21,"Jalapa",91914,"Con  5 o más hijos nacidos",28884,0.31
22,"Jutiapa",131779,"Con  5 o más hijos nacidos",40282,0.31
1,"Guatemala",867729,"NA_Hijos_Nacidos",85546,0.1
2,"El Progreso",47188,"NA_Hijos_Nacidos",4245,0.09
3,"Sacatepéquez",93790,"NA_Hijos_Nacidos",13462,0.14
4,"Chimaltenango",170240,"NA_Hijos_Nacidos",11486,0.07
5,"Escuintla",199250,"NA_Hijos_Nacidos",15524,0.08
6,"Santa Rosa",105699,"NA_Hijos_Nacidos",4813,0.05
7,"Sololá",121919,"NA_Hijos_Nacidos",11735,0.1
8,"Totonicapán",117239,"NA_Hijos_Nacidos",13398,0.11
9,"Quetzaltenango",227270,"NA_Hijos_Nacidos",16829,0.07
10,"Suchitepéquez",146850,"NA_Hijos_Nacidos",8290,0.06
11,"Retalhuleu",87547,"NA_Hijos_Nacidos",5798,0.07
12,"San Marcos",263600,"NA_Hijos_Nacidos",19920,0.08
13,"Huehuetenango",310013,"NA_Hijos_Nacidos",19061,0.06
14,"Quiché",250434,"NA_Hijos_Nacidos",20532,0.08
15,"Baja Verapaz",80432,"NA_Hijos_Nacidos",2912,0.04
16,"Alta Verapaz",312101,"NA_Hijos_Nacidos",20975,0.07
17,"Petén",144885,"NA_Hijos_Nacidos",10042,0.07
18,"Izabal",108996,"NA_Hijos_Nacidos",6962,0.06
19,"Zacapa",65799,"NA_Hijos_Nacidos",7519,0.11
20,"Chiquimula",110482,"NA_Hijos_Nacidos",9501,0.09
21,"Jalapa",91914,"NA_Hijos_Nacidos",5513,0.06
22,"Jutiapa",131779,"NA_Hijos_Nacidos",10812,0.08
1,"Guatemala",867729,"Con  0 hijos sobrevivientes",3902,0
2,"El Progreso",47188,"Con  0 hijos sobrevivientes",175,0
3,"Sacatepéquez",93790,"Con  0 hijos sobrevivientes",385,0
4,"Chimaltenango",170240,"Con  0 hijos sobrevivientes",573,0
5,"Escuintla",199250,"Con  0 hijos sobrevivientes",956,0
6,"Santa Rosa",105699,"Con  0 hijos sobrevivientes",459,0
7,"Sololá",121919,"Con  0 hijos sobrevivientes",376,0
8,"Totonicapán",117239,"Con  0 hijos sobrevivientes",456,0
9,"Quetzaltenango",227270,"Con  0 hijos sobrevivientes",873,0
10,"Suchitepéquez",146850,"Con  0 hijos sobrevivientes",643,0
11,"Retalhuleu",87547,"Con  0 hijos sobrevivientes",442,0.01
12,"San Marcos",263600,"Con  0 hijos sobrevivientes",959,0
13,"Huehuetenango",310013,"Con  0 hijos sobrevivientes",1073,0
14,"Quiché",250434,"Con  0 hijos sobrevivientes",717,0
15,"Baja Verapaz",80432,"Con  0 hijos sobrevivientes",287,0
16,"Alta Verapaz",312101,"Con  0 hijos sobrevivientes",1029,0
17,"Petén",144885,"Con  0 hijos sobrevivientes",405,0
18,"Izabal",108996,"Con  0 hijos sobrevivientes",452,0
19,"Zacapa",65799,"Con  0 hijos sobrevivientes",250,0
20,"Chiquimula",110482,"Con  0 hijos sobrevivientes",424,0
21,"Jalapa",91914,"Con  0 hijos sobrevivientes",303,0
22,"Jutiapa",131779,"Con  0 hijos sobrevivientes",604,0
1,"Guatemala",867729,"Con  1 hijos sobrevivientes",171852,0.2
2,"El Progreso",47188,"Con  1 hijos sobrevivientes",9113,0.19
3,"Sacatepéquez",93790,"Con  1 hijos sobrevivientes",16770,0.18
4,"Chimaltenango",170240,"Con  1 hijos sobrevivientes",25930,0.15
5,"Escuintla",199250,"Con  1 hijos sobrevivientes",37970,0.19
6,"Santa Rosa",105699,"Con  1 hijos sobrevivientes",19858,0.19
7,"Sololá",121919,"Con  1 hijos sobrevivientes",20187,0.17
8,"Totonicapán",117239,"Con  1 hijos sobrevivientes",17733,0.15
9,"Quetzaltenango",227270,"Con  1 hijos sobrevivientes",41323,0.18
10,"Suchitepéquez",146850,"Con  1 hijos sobrevivientes",26037,0.18
11,"Retalhuleu",87547,"Con  1 hijos sobrevivientes",15748,0.18
12,"San Marcos",263600,"Con  1 hijos sobrevivientes",44511,0.17
13,"Huehuetenango",310013,"Con  1 hijos sobrevivientes",53147,0.17
14,"Quiché",250434,"Con  1 hijos sobrevivientes",37134,0.15
15,"Baja Verapaz",80432,"Con  1 hijos sobrevivientes",14654,0.18
16,"Alta Verapaz",312101,"Con  1 hijos sobrevivientes",53598,0.17
17,"Petén",144885,"Con  1 hijos sobrevivientes",25023,0.17
18,"Izabal",108996,"Con  1 hijos sobrevivientes",19690,0.18
19,"Zacapa",65799,"Con  1 hijos sobrevivientes",12557,0.19
20,"Chiquimula",110482,"Con  1 hijos sobrevivientes",19355,0.18
21,"Jalapa",91914,"Con  1 hijos sobrevivientes",15730,0.17
22,"Jutiapa",131779,"Con  1 hijos sobrevivientes",23978,0.18
1,"Guatemala",867729,"Con  2 hijos sobrevivientes",221717,0.26
2,"El Progreso",47188,"Con  2 hijos sobrevivientes",10479,0.22
3,"Sacatepéquez",93790,"Con  2 hijos sobrevivientes",20460,0.22
4,"Chimaltenango",170240,"Con  2 hijos sobrevivientes",27550,0.16
5,"Escuintla",199250,"Con  2 hijos sobrevivientes",45563,0.23
6,"Santa Rosa",105699,"Con  2 hijos sobrevivientes",22374,0.21
7,"Sololá",121919,"Con  2 hijos sobrevivientes",18436,0.15
8,"Totonicapán",117239,"Con  2 hijos sobrevivientes",16933,0.14
9,"Quetzaltenango",227270,"Con  2 hijos sobrevivientes",43969,0.19
10,"Suchitepéquez",146850,"Con  2 hijos sobrevivientes",28298,0.19
11,"Retalhuleu",87547,"Con  2 hijos sobrevivientes",17297,0.2
12,"San Marcos",263600,"Con  2 hijos sobrevivientes",46043,0.17
13,"Huehuetenango",310013,"Con  2 hijos sobrevivientes",50683,0.16
14,"Quiché",250434,"Con  2 hijos sobrevivientes",35582,0.14
15,"Baja Verapaz",80432,"Con  2 hijos sobrevivientes",14243,0.18
16,"Alta Verapaz",312101,"Con  2 hijos sobrevivientes",50838,0.16
17,"Petén",144885,"Con  2 hijos sobrevivientes",24620,0.17
18,"Izabal",108996,"Con  2 hijos sobrevivientes",21668,0.2
19,"Zacapa",65799,"Con  2 hijos sobrevivientes",14615,0.22
20,"Chiquimula",110482,"Con  2 hijos sobrevivientes",19661,0.18
21,"Jalapa",91914,"Con  2 hijos sobrevivientes",15757,0.17
22,"Jutiapa",131779,"Con  2 hijos sobrevivientes",25046,0.19
1,"Guatemala",867729,"Con  3 hijos sobrevivientes",184250,0.21
2,"El Progreso",47188,"Con  3 hijos sobrevivientes",9083,0.19
3,"Sacatepéquez",93790,"Con  3 hijos sobrevivientes",17079,0.18
4,"Chimaltenango",170240,"Con  3 hijos sobrevivientes",24708,0.15
5,"Escuintla",199250,"Con  3 hijos sobrevivientes",40779,0.2
6,"Santa Rosa",105699,"Con  3 hijos sobrevivientes",19722,0.19
7,"Sololá",121919,"Con  3 hijos sobrevivientes",14928,0.12
8,"Totonicapán",117239,"Con  3 hijos sobrevivientes",14250,0.12
9,"Quetzaltenango",227270,"Con  3 hijos sobrevivientes",39335,0.17
10,"Suchitepéquez",146850,"Con  3 hijos sobrevivientes",26923,0.18
11,"Retalhuleu",87547,"Con  3 hijos sobrevivientes",16368,0.19
12,"San Marcos",263600,"Con  3 hijos sobrevivientes",43012,0.16
13,"Huehuetenango",310013,"Con  3 hijos sobrevivientes",44793,0.14
14,"Quiché",250434,"Con  3 hijos sobrevivientes",29848,0.12
15,"Baja Verapaz",80432,"Con  3 hijos sobrevivientes",12564,0.16
16,"Alta Verapaz",312101,"Con  3 hijos sobrevivientes",41003,0.13
17,"Petén",144885,"Con  3 hijos sobrevivientes",20130,0.14
18,"Izabal",108996,"Con  3 hijos sobrevivientes",18967,0.17
19,"Zacapa",65799,"Con  3 hijos sobrevivientes",12651,0.19
20,"Chiquimula",110482,"Con  3 hijos sobrevivientes",16724,0.15
21,"Jalapa",91914,"Con  3 hijos sobrevivientes",13331,0.15
22,"Jutiapa",131779,"Con  3 hijos sobrevivientes",22201,0.17
1,"Guatemala",867729,"Con  4 hijos sobrevivientes",95246,0.11
2,"El Progreso",47188,"Con  4 hijos sobrevivientes",5547,0.12
3,"Sacatepéquez",93790,"Con  4 hijos sobrevivientes",9450,0.1
4,"Chimaltenango",170240,"Con  4 hijos sobrevivientes",17271,0.1
5,"Escuintla",199250,"Con  4 hijos sobrevivientes",23443,0.12
6,"Santa Rosa",105699,"Con  4 hijos sobrevivientes",12757,0.12
7,"Sololá",121919,"Con  4 hijos sobrevivientes",11243,0.09
8,"Totonicapán",117239,"Con  4 hijos sobrevivientes",11223,0.1
9,"Quetzaltenango",227270,"Con  4 hijos sobrevivientes",25353,0.11
10,"Suchitepéquez",146850,"Con  4 hijos sobrevivientes",17173,0.12
11,"Retalhuleu",87547,"Con  4 hijos sobrevivientes",10220,0.12
12,"San Marcos",263600,"Con  4 hijos sobrevivientes",31575,0.12
13,"Huehuetenango",310013,"Con  4 hijos sobrevivientes",34307,0.11
14,"Quiché",250434,"Con  4 hijos sobrevivientes",24392,0.1
15,"Baja Verapaz",80432,"Con  4 hijos sobrevivientes",9060,0.11
16,"Alta Verapaz",312101,"Con  4 hijos sobrevivientes",30279,0.1
17,"Petén",144885,"Con  4 hijos sobrevivientes",14216,0.1
18,"Izabal",108996,"Con  4 hijos sobrevivientes",11332,0.1
19,"Zacapa",65799,"Con  4 hijos sobrevivientes",7303,0.11
20,"Chiquimula",110482,"Con  4 hijos sobrevivientes",11748,0.11
21,"Jalapa",91914,"Con  4 hijos sobrevivientes",9441,0.1
22,"Jutiapa",131779,"Con  4 hijos sobrevivientes",15072,0.11
1,"Guatemala",867729,"Con  5 o más hijos sobrevivientes",112537,0.13
2,"El Progreso",47188,"Con  5 o más hijos sobrevivientes",10746,0.23
3,"Sacatepéquez",93790,"Con  5 o más hijos sobrevivientes",16761,0.18
4,"Chimaltenango",170240,"Con  5 o más hijos sobrevivientes",43892,0.26
5,"Escuintla",199250,"Con  5 o más hijos sobrevivientes",37447,0.19
6,"Santa Rosa",105699,"Con  5 o más hijos sobrevivientes",25409,0.24
7,"Sololá",121919,"Con  5 o más hijos sobrevivientes",30700,0.25
8,"Totonicapán",117239,"Con  5 o más hijos sobrevivientes",32872,0.28
9,"Quetzaltenango",227270,"Con  5 o más hijos sobrevivientes",51940,0.23
10,"Suchitepéquez",146850,"Con  5 o más hijos sobrevivientes",36440,0.25
11,"Retalhuleu",87547,"Con  5 o más hijos sobrevivientes",21534,0.25
12,"San Marcos",263600,"Con  5 o más hijos sobrevivientes",81698,0.31
13,"Huehuetenango",310013,"Con  5 o más hijos sobrevivientes",92467,0.3
14,"Quiché",250434,"Con  5 o más hijos sobrevivientes",77236,0.31
15,"Baja Verapaz",80432,"Con  5 o más hijos sobrevivientes",22368,0.28
16,"Alta Verapaz",312101,"Con  5 o más hijos sobrevivientes",87603,0.28
17,"Petén",144885,"Con  5 o más hijos sobrevivientes",38498,0.27
18,"Izabal",108996,"Con  5 o más hijos sobrevivientes",25850,0.24
19,"Zacapa",65799,"Con  5 o más hijos sobrevivientes",14662,0.22
20,"Chiquimula",110482,"Con  5 o más hijos sobrevivientes",29499,0.27
21,"Jalapa",91914,"Con  5 o más hijos sobrevivientes",25829,0.28
22,"Jutiapa",131779,"Con  5 o más hijos sobrevivientes",35171,0.27
