"Código","Municipio","Total de viviendas particulares","Tipo de Ocupacion","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
413,"San Andrés Itzapa",7689,"Rechazo total o parcial",152,1.98
414,"Parramos",3912,"Ocupada",3333,85.2
414,"Parramos",3912,"De uso temporal",17,0.43
414,"Parramos",3912,"Desocupada",477,12.19
414,"Parramos",3912,"Rechazo total o parcial",85,2.17
415,"Zaragoza",6436,"Ocupada",5478,85.11
415,"Zaragoza",6436,"De uso temporal",83,1.29
415,"Zaragoza",6436,"Desocupada",839,13.04
415,"Zaragoza",6436,"Rechazo total o parcial",36,0.56
416,"El Tejar",4930,"Ocupada",4176,84.71
416,"El Tejar",4930,"De uso temporal",25,0.51
416,"El Tejar",4930,"Desocupada",509,10.32
416,"El Tejar",4930,"Rechazo total o parcial",220,4.46
501,"Escuintla",43995,"Ocupada",37849,86.03
501,"Escuintla",43995,"De uso temporal",637,1.45
501,"Escuintla",43995,"Desocupada",5065,11.51
501,"Escuintla",43995,"Rechazo total o parcial",444,1.01
502,"Santa Lucía Cotzumalguapa",28991,"Ocupada",26167,90.26
502,"Santa Lucía Cotzumalguapa",28991,"De uso temporal",288,0.99
502,"Santa Lucía Cotzumalguapa",28991,"Desocupada",2124,7.33
502,"Santa Lucía Cotzumalguapa",28991,"Rechazo total o parcial",412,1.42
503,"La Democracia",6517,"Ocupada",5786,88.78
503,"La Democracia",6517,"De uso temporal",40,0.61
503,"La Democracia",6517,"Desocupada",659,10.11
503,"La Democracia",6517,"Rechazo total o parcial",32,0.49
504,"Siquinalá",6214,"Ocupada",5387,86.69
504,"Siquinalá",6214,"De uso temporal",33,0.53
504,"Siquinalá",6214,"Desocupada",658,10.59
504,"Siquinalá",6214,"Rechazo total o parcial",136,2.19
505,"Masagua",13858,"Ocupada",11566,83.46
505,"Masagua",13858,"De uso temporal",480,3.46
505,"Masagua",13858,"Desocupada",1437,10.37
505,"Masagua",13858,"Rechazo total o parcial",375,2.71
506,"Tiquisate",17293,"Ocupada",14256,82.44
506,"Tiquisate",17293,"De uso temporal",410,2.37
506,"Tiquisate",17293,"Desocupada",2531,14.64
506,"Tiquisate",17293,"Rechazo total o parcial",96,0.56
507,"La Gomera",12770,"Ocupada",11614,90.95
507,"La Gomera",12770,"De uso temporal",91,0.71
507,"La Gomera",12770,"Desocupada",1014,7.94
507,"La Gomera",12770,"Rechazo total o parcial",51,0.4
508,"Guanagazapa",4167,"Ocupada",3559,85.41
508,"Guanagazapa",4167,"De uso temporal",40,0.96
508,"Guanagazapa",4167,"Desocupada",561,13.46
508,"Guanagazapa",4167,"Rechazo total o parcial",7,0.17
509,"San José",21340,"Ocupada",16914,79.26
509,"San José",21340,"De uso temporal",1930,9.04
509,"San José",21340,"Desocupada",2290,10.73
509,"San José",21340,"Rechazo total o parcial",206,0.97
510,"Iztapa",5742,"Ocupada",4745,82.64
510,"Iztapa",5742,"De uso temporal",578,10.07
510,"Iztapa",5742,"Desocupada",357,6.22
510,"Iztapa",5742,"Rechazo total o parcial",62,1.08
511,"Palín",17486,"Ocupada",15425,88.21
511,"Palín",17486,"De uso temporal",303,1.73
511,"Palín",17486,"Desocupada",1634,9.34
511,"Palín",17486,"Rechazo total o parcial",124,0.71
512,"San Vicente Pacaya",4799,"Ocupada",4109,85.62
512,"San Vicente Pacaya",4799,"De uso temporal",12,0.25
512,"San Vicente Pacaya",4799,"Desocupada",580,12.09
512,"San Vicente Pacaya",4799,"Rechazo total o parcial",98,2.04
513,"Nueva Concepción",21230,"Ocupada",17975,84.67
513,"Nueva Concepción",21230,"De uso temporal",428,2.02
513,"Nueva Concepción",21230,"Desocupada",2827,13.32
513,"Nueva Concepción",21230,"Rechazo total o parcial",0,0
514,"Sipacate",5049,"Ocupada",4045,80.11
514,"Sipacate",5049,"De uso temporal",99,1.96
514,"Sipacate",5049,"Desocupada",771,15.27
514,"Sipacate",5049,"Rechazo total o parcial",134,2.65
601,"Cuilapa",11309,"Ocupada",9698,85.75
601,"Cuilapa",11309,"De uso temporal",153,1.35
601,"Cuilapa",11309,"Desocupada",1448,12.8
601,"Cuilapa",11309,"Rechazo total o parcial",10,0.09
602,"Barberena",15143,"Ocupada",13391,88.43
602,"Barberena",15143,"De uso temporal",158,1.04
602,"Barberena",15143,"Desocupada",1566,10.34
602,"Barberena",15143,"Rechazo total o parcial",28,0.18
603,"Santa Rosa de Lima",6255,"Ocupada",4811,76.91
603,"Santa Rosa de Lima",6255,"De uso temporal",196,3.13
603,"Santa Rosa de Lima",6255,"Desocupada",1232,19.7
603,"Santa Rosa de Lima",6255,"Rechazo total o parcial",16,0.26
604,"Casillas",7723,"Ocupada",5981,77.44
604,"Casillas",7723,"De uso temporal",68,0.88
604,"Casillas",7723,"Desocupada",1533,19.85
604,"Casillas",7723,"Rechazo total o parcial",141,1.83
605,"San Rafael las Flores",3934,"Ocupada",3019,76.74
605,"San Rafael las Flores",3934,"De uso temporal",115,2.92
605,"San Rafael las Flores",3934,"Desocupada",799,20.31
605,"San Rafael las Flores",3934,"Rechazo total o parcial",1,0.03
606,"Oratorio",7471,"Ocupada",6094,81.57
606,"Oratorio",7471,"De uso temporal",120,1.61
606,"Oratorio",7471,"Desocupada",1257,16.83
606,"Oratorio",7471,"Rechazo total o parcial",0,0
607,"San Juan Tecuaco",2451,"Ocupada",2084,85.03
607,"San Juan Tecuaco",2451,"De uso temporal",34,1.39
607,"San Juan Tecuaco",2451,"Desocupada",333,13.59
607,"San Juan Tecuaco",2451,"Rechazo total o parcial",0,0
608,"Chiquimulilla",17195,"Ocupada",13464,78.3
608,"Chiquimulilla",17195,"De uso temporal",779,4.53
608,"Chiquimulilla",17195,"Desocupada",2876,16.73
608,"Chiquimulilla",17195,"Rechazo total o parcial",76,0.44
609,"Taxisco",9251,"Ocupada",7246,78.33
609,"Taxisco",9251,"De uso temporal",542,5.86
609,"Taxisco",9251,"Desocupada",1462,15.8
609,"Taxisco",9251,"Rechazo total o parcial",1,0.01
610,"Santa María Ixhuatán",7153,"Ocupada",5868,82.04
610,"Santa María Ixhuatán",7153,"De uso temporal",63,0.88
610,"Santa María Ixhuatán",7153,"Desocupada",1222,17.08
610,"Santa María Ixhuatán",7153,"Rechazo total o parcial",0,0
611,"Guazacapán",5306,"Ocupada",4423,83.36
611,"Guazacapán",5306,"De uso temporal",116,2.19
611,"Guazacapán",5306,"Desocupada",767,14.46
611,"Guazacapán",5306,"Rechazo total o parcial",0,0
612,"Santa Cruz Naranjo",4907,"Ocupada",3964,80.78
612,"Santa Cruz Naranjo",4907,"De uso temporal",94,1.92
612,"Santa Cruz Naranjo",4907,"Desocupada",786,16.02
612,"Santa Cruz Naranjo",4907,"Rechazo total o parcial",63,1.28
613,"Pueblo Nuevo Viñas",7313,"Ocupada",5944,81.28
613,"Pueblo Nuevo Viñas",7313,"De uso temporal",159,2.17
613,"Pueblo Nuevo Viñas",7313,"Desocupada",1210,16.55
613,"Pueblo Nuevo Viñas",7313,"Rechazo total o parcial",0,0
614,"Nueva Santa Rosa",11242,"Ocupada",8956,79.67
614,"Nueva Santa Rosa",11242,"De uso temporal",191,1.7
614,"Nueva Santa Rosa",11242,"Desocupada",2094,18.63
614,"Nueva Santa Rosa",11242,"Rechazo total o parcial",1,0.01
701,"Sololá",17373,"Ocupada",14461,83.24
701,"Sololá",17373,"De uso temporal",264,1.52
701,"Sololá",17373,"Desocupada",2567,14.78
701,"Sololá",17373,"Rechazo total o parcial",81,0.47
702,"San José Chacayá",934,"Ocupada",737,78.91
702,"San José Chacayá",934,"De uso temporal",49,5.25
702,"San José Chacayá",934,"Desocupada",147,15.74
702,"San José Chacayá",934,"Rechazo total o parcial",1,0.11
703,"Santa María Visitación",669,"Ocupada",548,81.91
703,"Santa María Visitación",669,"De uso temporal",2,0.3
703,"Santa María Visitación",669,"Desocupada",112,16.74
703,"Santa María Visitación",669,"Rechazo total o parcial",7,1.05
704,"Santa Lucía Utatlán",5921,"Ocupada",4639,78.35
704,"Santa Lucía Utatlán",5921,"De uso temporal",306,5.17
704,"Santa Lucía Utatlán",5921,"Desocupada",959,16.2
704,"Santa Lucía Utatlán",5921,"Rechazo total o parcial",17,0.29
705,"Nahualá",17830,"Ocupada",14598,81.87
705,"Nahualá",17830,"De uso temporal",167,0.94
705,"Nahualá",17830,"Desocupada",2992,16.78
705,"Nahualá",17830,"Rechazo total o parcial",73,0.41
706,"Santa Catarina Ixtahuacán",13604,"Ocupada",11446,84.14
706,"Santa Catarina Ixtahuacán",13604,"De uso temporal",144,1.06
706,"Santa Catarina Ixtahuacán",13604,"Desocupada",1956,14.38
706,"Santa Catarina Ixtahuacán",13604,"Rechazo total o parcial",58,0.43
707,"Santa Clara la Laguna",2429,"Ocupada",2070,85.22
707,"Santa Clara la Laguna",2429,"De uso temporal",60,2.47
707,"Santa Clara la Laguna",2429,"Desocupada",294,12.1
707,"Santa Clara la Laguna",2429,"Rechazo total o parcial",5,0.21
708,"Concepción",1060,"Ocupada",927,87.45
708,"Concepción",1060,"De uso temporal",39,3.68
708,"Concepción",1060,"Desocupada",87,8.21
708,"Concepción",1060,"Rechazo total o parcial",7,0.66
709,"San Andrés Semetabaj",3229,"Ocupada",2633,81.54
709,"San Andrés Semetabaj",3229,"De uso temporal",75,2.32
709,"San Andrés Semetabaj",3229,"Desocupada",517,16.01
709,"San Andrés Semetabaj",3229,"Rechazo total o parcial",4,0.12
710,"Panajachel",4304,"Ocupada",3542,82.3
710,"Panajachel",4304,"De uso temporal",256,5.95
710,"Panajachel",4304,"Desocupada",453,10.53
710,"Panajachel",4304,"Rechazo total o parcial",53,1.23
711,"Santa Catarina Palopó",1165,"Ocupada",741,63.61
711,"Santa Catarina Palopó",1165,"De uso temporal",168,14.42
711,"Santa Catarina Palopó",1165,"Desocupada",256,21.97
711,"Santa Catarina Palopó",1165,"Rechazo total o parcial",0,0
712,"San Antonio Palopó",3860,"Ocupada",3166,82.02
712,"San Antonio Palopó",3860,"De uso temporal",145,3.76
712,"San Antonio Palopó",3860,"Desocupada",545,14.12
712,"San Antonio Palopó",3860,"Rechazo total o parcial",4,0.1
713,"San Lucas Tolimán",7562,"Ocupada",6209,82.11
713,"San Lucas Tolimán",7562,"De uso temporal",656,8.67
713,"San Lucas Tolimán",7562,"Desocupada",671,8.87
713,"San Lucas Tolimán",7562,"Rechazo total o parcial",26,0.34
714,"Santa Cruz la Laguna",1571,"Ocupada",1125,71.61
714,"Santa Cruz la Laguna",1571,"De uso temporal",145,9.23
714,"Santa Cruz la Laguna",1571,"Desocupada",288,18.33
714,"Santa Cruz la Laguna",1571,"Rechazo total o parcial",13,0.83
715,"San Pablo la Laguna",1957,"Ocupada",1592,81.35
715,"San Pablo la Laguna",1957,"De uso temporal",4,0.2
715,"San Pablo la Laguna",1957,"Desocupada",312,15.94
715,"San Pablo la Laguna",1957,"Rechazo total o parcial",49,2.5
716,"San Marcos la Laguna",675,"Ocupada",523,77.48
716,"San Marcos la Laguna",675,"De uso temporal",30,4.44
716,"San Marcos la Laguna",675,"Desocupada",118,17.48
716,"San Marcos la Laguna",675,"Rechazo total o parcial",4,0.59
717,"San Juan la Laguna",3078,"Ocupada",2549,82.81
717,"San Juan la Laguna",3078,"De uso temporal",67,2.18
717,"San Juan la Laguna",3078,"Desocupada",461,14.98
717,"San Juan la Laguna",3078,"Rechazo total o parcial",1,0.03
718,"San Pedro la Laguna",3229,"Ocupada",2616,81.02
718,"San Pedro la Laguna",3229,"De uso temporal",136,4.21
718,"San Pedro la Laguna",3229,"Desocupada",465,14.4
718,"San Pedro la Laguna",3229,"Rechazo total o parcial",12,0.37
719,"Santiago Atitlán",11469,"Ocupada",9218,80.37
719,"Santiago Atitlán",11469,"De uso temporal",488,4.25
719,"Santiago Atitlán",11469,"Desocupada",1714,14.94
719,"Santiago Atitlán",11469,"Rechazo total o parcial",49,0.43
801,"Totonicapán",29701,"Ocupada",22002,74.08
801,"Totonicapán",29701,"De uso temporal",336,1.13
801,"Totonicapán",29701,"Desocupada",6662,22.43
801,"Totonicapán",29701,"Rechazo total o parcial",701,2.36
802,"San Cristóbal Totonicapán",10371,"Ocupada",7204,69.46
802,"San Cristóbal Totonicapán",10371,"De uso temporal",156,1.5
802,"San Cristóbal Totonicapán",10371,"Desocupada",2590,24.97
802,"San Cristóbal Totonicapán",10371,"Rechazo total o parcial",421,4.06
803,"San Francisco el Alto",14258,"Ocupada",10416,73.05
803,"San Francisco el Alto",14258,"De uso temporal",140,0.98
803,"San Francisco el Alto",14258,"Desocupada",3154,22.12
803,"San Francisco el Alto",14258,"Rechazo total o parcial",548,3.84
804,"San Andrés Xecul",7495,"Ocupada",5111,68.19
804,"San Andrés Xecul",7495,"De uso temporal",590,7.87
804,"San Andrés Xecul",7495,"Desocupada",1646,21.96
804,"San Andrés Xecul",7495,"Rechazo total o parcial",148,1.97
805,"Momostenango",26004,"Ocupada",17291,66.49
805,"Momostenango",26004,"De uso temporal",769,2.96
805,"Momostenango",26004,"Desocupada",6873,26.43
805,"Momostenango",26004,"Rechazo total o parcial",1071,4.12
806,"Santa María Chiquimula",11856,"Ocupada",8534,71.98
806,"Santa María Chiquimula",11856,"De uso temporal",214,1.8
806,"Santa María Chiquimula",11856,"Desocupada",3057,25.78
806,"Santa María Chiquimula",11856,"Rechazo total o parcial",51,0.43
807,"Santa Lucía la Reforma",5067,"Ocupada",3134,61.85
807,"Santa Lucía la Reforma",5067,"De uso temporal",145,2.86
807,"Santa Lucía la Reforma",5067,"Desocupada",1784,35.21
807,"Santa Lucía la Reforma",5067,"Rechazo total o parcial",4,0.08
808,"San Bartolo Aguas Calientes",2850,"Ocupada",1936,67.93
808,"San Bartolo Aguas Calientes",2850,"De uso temporal",25,0.88
808,"San Bartolo Aguas Calientes",2850,"Desocupada",858,30.11
808,"San Bartolo Aguas Calientes",2850,"Rechazo total o parcial",31,1.09
901,"Quetzaltenango",49123,"Ocupada",40412,82.27
901,"Quetzaltenango",49123,"De uso temporal",1450,2.95
901,"Quetzaltenango",49123,"Desocupada",5801,11.81
901,"Quetzaltenango",49123,"Rechazo total o parcial",1460,2.97
902,"Salcajá",5520,"Ocupada",4507,81.65
902,"Salcajá",5520,"De uso temporal",162,2.93
902,"Salcajá",5520,"Desocupada",834,15.11
902,"Salcajá",5520,"Rechazo total o parcial",17,0.31
903,"San Juan Olintepeque",9101,"Ocupada",7374,81.02
903,"San Juan Olintepeque",9101,"De uso temporal",201,2.21
903,"San Juan Olintepeque",9101,"Desocupada",1358,14.92
903,"San Juan Olintepeque",9101,"Rechazo total o parcial",168,1.85
904,"San Carlos Sija",9989,"Ocupada",6605,66.12
