"Código","Municipio","Total de mujeres en edad fértil","Situación","Cantidad de Mujeres","Porcentaje de Mujeres"
603,"Santa Rosa de Lima",5402,"Con 0 hijos nacidos",1834,0.34
604,"Casillas",6840,"Con 0 hijos nacidos",2189,0.32
605,"San Rafael las Flores",3387,"Con 0 hijos nacidos",1062,0.31
606,"Oratorio",6472,"Con 0 hijos nacidos",1781,0.28
607,"San Juan Tecuaco",2596,"Con 0 hijos nacidos",831,0.32
608,"Chiquimulilla",14388,"Con 0 hijos nacidos",4623,0.32
609,"Taxisco",7702,"Con 0 hijos nacidos",2433,0.32
610,"Santa María Ixhuatán",6168,"Con 0 hijos nacidos",2099,0.34
611,"Guazacapán",5037,"Con 0 hijos nacidos",1692,0.34
612,"Santa Cruz Naranjo",4352,"Con 0 hijos nacidos",1402,0.32
613,"Pueblo Nuevo Viñas",6315,"Con 0 hijos nacidos",1759,0.28
614,"Nueva Santa Rosa",10035,"Con 0 hijos nacidos",3595,0.36
701,"Sololá",25247,"Con 0 hijos nacidos",10696,0.42
702,"San José Chacayá",1122,"Con 0 hijos nacidos",415,0.37
703,"Santa María Visitación",679,"Con 0 hijos nacidos",316,0.47
704,"Santa Lucía Utatlán",6157,"Con 0 hijos nacidos",2355,0.38
705,"Nahualá",22424,"Con 0 hijos nacidos",7660,0.34
706,"Santa Catarina Ixtahuacán",16963,"Con 0 hijos nacidos",4972,0.29
707,"Santa Clara la Laguna",2767,"Con 0 hijos nacidos",1025,0.37
708,"Concepción",1771,"Con 0 hijos nacidos",553,0.31
709,"San Andrés Semetabaj",3867,"Con 0 hijos nacidos",1067,0.28
710,"Panajachel",4347,"Con 0 hijos nacidos",1616,0.37
711,"Santa Catarina Palopó",1073,"Con 0 hijos nacidos",455,0.42
712,"San Antonio Palopó",4170,"Con 0 hijos nacidos",1588,0.38
713,"San Lucas Tolimán",8279,"Con 0 hijos nacidos",2705,0.33
714,"Santa Cruz la Laguna",1569,"Con 0 hijos nacidos",605,0.39
715,"San Pablo la Laguna",2107,"Con 0 hijos nacidos",670,0.32
716,"San Marcos la Laguna",828,"Con 0 hijos nacidos",343,0.41
717,"San Juan la Laguna",3311,"Con 0 hijos nacidos",669,0.2
718,"San Pedro la Laguna",2958,"Con 0 hijos nacidos",1116,0.38
719,"Santiago Atitlán",12280,"Con 0 hijos nacidos",5333,0.43
801,"Totonicapán",31356,"Con 0 hijos nacidos",13577,0.43
802,"San Cristóbal Totonicapán",10900,"Con 0 hijos nacidos",3370,0.31
803,"San Francisco el Alto",16792,"Con 0 hijos nacidos",5094,0.3
804,"San Andrés Xecul",8242,"Con 0 hijos nacidos",3488,0.42
805,"Momostenango",27315,"Con 0 hijos nacidos",10161,0.37
806,"Santa María Chiquimula",14291,"Con 0 hijos nacidos",5193,0.36
807,"Santa Lucía la Reforma",5615,"Con 0 hijos nacidos",2077,0.37
808,"San Bartolo Aguas Calientes",2728,"Con 0 hijos nacidos",793,0.29
901,"Quetzaltenango",53486,"Con 0 hijos nacidos",20997,0.39
902,"Salcajá",5508,"Con 0 hijos nacidos",2113,0.38
903,"San Juan Olintepeque",10466,"Con 0 hijos nacidos",4335,0.41
904,"San Carlos Sija",8120,"Con 0 hijos nacidos",2613,0.32
905,"Sibilia",2247,"Con 0 hijos nacidos",762,0.34
906,"Cabricán",6739,"Con 0 hijos nacidos",2349,0.35
907,"Cajolá",4304,"Con 0 hijos nacidos",1021,0.24
908,"San Miguel Siguilá",2376,"Con 0 hijos nacidos",809,0.34
909,"San Juan Ostuncalco",15138,"Con 0 hijos nacidos",4784,0.32
910,"San Mateo",2320,"Con 0 hijos nacidos",420,0.18
911,"Concepción Chiquirichapa",4983,"Con 0 hijos nacidos",1390,0.28
912,"San Martín Sacatepéquez",8563,"Con 0 hijos nacidos",3288,0.38
913,"Almolonga",4962,"Con 0 hijos nacidos",1655,0.33
914,"Cantel",11587,"Con 0 hijos nacidos",4458,0.38
915,"Huitán",3809,"Con 0 hijos nacidos",1074,0.28
916,"Zunil",4687,"Con 0 hijos nacidos",1942,0.41
917,"Colomba Costa Cuca",12394,"Con 0 hijos nacidos",3785,0.31
918,"San Francisco la Unión",2210,"Con 0 hijos nacidos",901,0.41
919,"El Palmar",7719,"Con 0 hijos nacidos",2460,0.32
920,"Coatepeque",28908,"Con 0 hijos nacidos",8408,0.29
921,"Génova",9848,"Con 0 hijos nacidos",3152,0.32
922,"Flores Costa Cuca",5703,"Con 0 hijos nacidos",1512,0.27
923,"La Esperanza",6649,"Con 0 hijos nacidos",2090,0.31
924,"Palestina de los Altos",4544,"Con 0 hijos nacidos",1493,0.33
1001,"Mazatenango",21030,"Con 0 hijos nacidos",6473,0.31
1002,"Cuyotenango",9011,"Con 0 hijos nacidos",2656,0.29
1003,"San Francisco Zapotitlán",6178,"Con 0 hijos nacidos",1857,0.3
1004,"San Bernardino",4216,"Con 0 hijos nacidos",1386,0.33
1005,"San José el Ídolo",2693,"Con 0 hijos nacidos",694,0.26
1006,"Santo Domingo Suchitepéquez",11191,"Con 0 hijos nacidos",3581,0.32
1007,"San Lorenzo",3561,"Con 0 hijos nacidos",1071,0.3
1008,"Samayac",6994,"Con 0 hijos nacidos",1986,0.28
1009,"San Pablo Jocopilas",6013,"Con 0 hijos nacidos",1809,0.3
1010,"San Antonio Suchitepéquez",15245,"Con 0 hijos nacidos",5114,0.34
1011,"San Miguel Panán",2633,"Con 0 hijos nacidos",914,0.35
1012,"San Gabriel",2043,"Con 0 hijos nacidos",604,0.3
1013,"Chicacao",14831,"Con 0 hijos nacidos",4921,0.33
1014,"Patulul",10637,"Con 0 hijos nacidos",2857,0.27
1015,"Santa Bárbara",6476,"Con 0 hijos nacidos",1638,0.25
1016,"San Juan Bautista",2005,"Con 0 hijos nacidos",541,0.27
1017,"Santo Tomas la Unión",3403,"Con 0 hijos nacidos",1245,0.37
1018,"Zunilito",2255,"Con 0 hijos nacidos",759,0.34
1019,"Pueblo Nuevo",3137,"Con 0 hijos nacidos",1021,0.33
1020,"Río Bravo",7124,"Con 0 hijos nacidos",2006,0.28
1021,"San José La Máquina",6174,"Con 0 hijos nacidos",1913,0.31
1101,"Retalhuleu",24735,"Con 0 hijos nacidos",7706,0.31
1102,"San Sebastián",8203,"Con 0 hijos nacidos",2475,0.3
1103,"Santa Cruz Muluá",3662,"Con 0 hijos nacidos",886,0.24
1104,"San Martín Zapotitlán",3249,"Con 0 hijos nacidos",1054,0.32
1105,"San Felipe",6696,"Con 0 hijos nacidos",2215,0.33
1106,"San Andrés Villa Seca",12166,"Con 0 hijos nacidos",3262,0.27
1107,"Champerico",8488,"Con 0 hijos nacidos",1988,0.23
1108,"Nuevo San Carlos",10317,"Con 0 hijos nacidos",3128,0.3
1109,"El Asintal",10031,"Con 0 hijos nacidos",3417,0.34
1201,"San Marcos",13016,"Con 0 hijos nacidos",4080,0.31
1202,"San Pedro Sacatepéquez",21982,"Con 0 hijos nacidos",7060,0.32
1203,"San Antonio Sacatepéquez",5117,"Con 0 hijos nacidos",1697,0.33
1204,"Comitancillo",13997,"Con 0 hijos nacidos",3594,0.26
1205,"San Miguel Ixtahuacán",10985,"Con 0 hijos nacidos",2944,0.27
1206,"Concepción Tutuapa",16592,"Con 0 hijos nacidos",4061,0.24
1207,"Tacaná",18205,"Con 0 hijos nacidos",5145,0.28
1208,"Sibinal",3656,"Con 0 hijos nacidos",1107,0.3
1209,"Tajumulco",12855,"Con 0 hijos nacidos",2757,0.21
1210,"Tejutla",9468,"Con 0 hijos nacidos",2850,0.3
1211,"San Rafael Pie de la Cuesta",4455,"Con 0 hijos nacidos",1260,0.28
1212,"Nuevo Progreso",7576,"Con 0 hijos nacidos",2333,0.31
1213,"El Tumbador",11106,"Con 0 hijos nacidos",3223,0.29
1214,"San José el Rodeo",4544,"Con 0 hijos nacidos",1379,0.3
1215,"Malacatán",24599,"Con 0 hijos nacidos",6960,0.28
1216,"Catarina",7891,"Con 0 hijos nacidos",2305,0.29
1217,"Ayutla",10310,"Con 0 hijos nacidos",2490,0.24
1218,"Ocós",2906,"Con 0 hijos nacidos",758,0.26
1219,"San Pablo",13154,"Con 0 hijos nacidos",4066,0.31
1220,"El Quetzal",5794,"Con 0 hijos nacidos",1755,0.3
1221,"La Reforma",4377,"Con 0 hijos nacidos",1415,0.32
1222,"Pajapita",5886,"Con 0 hijos nacidos",1637,0.28
1223,"Ixchiguán",5677,"Con 0 hijos nacidos",1117,0.2
1224,"San José Ojetenam",4442,"Con 0 hijos nacidos",1262,0.28
1225,"San Cristóbal Cucho",4347,"Con 0 hijos nacidos",1247,0.29
1226,"Sipacapa",4806,"Con 0 hijos nacidos",1419,0.3
1227,"Esquipulas Palo Gordo",3401,"Con 0 hijos nacidos",934,0.27
1228,"Río Blanco",1403,"Con 0 hijos nacidos",406,0.29
1229,"San Lorenzo",3377,"Con 0 hijos nacidos",980,0.29
1230,"La Blanca",7676,"Con 0 hijos nacidos",1905,0.25
1301,"Huehuetenango",34102,"Con 0 hijos nacidos",11656,0.34
1302,"Chiantla",23810,"Con 0 hijos nacidos",6685,0.28
1303,"Malacatancito",5023,"Con 0 hijos nacidos",1651,0.33
1304,"Cuilco",15379,"Con 0 hijos nacidos",4660,0.3
1305,"Nentón",11613,"Con 0 hijos nacidos",3123,0.27
1306,"San Pedro Necta",10237,"Con 0 hijos nacidos",2996,0.29
1307,"Jacaltenango",10715,"Con 0 hijos nacidos",3557,0.33
1308,"San Pedro Soloma",13252,"Con 0 hijos nacidos",3932,0.3
1309,"San Ildefonso Ixtahuacán",11254,"Con 0 hijos nacidos",3692,0.33
1310,"Santa Bárbara",8665,"Con 0 hijos nacidos",2654,0.31
1311,"La Libertad",10031,"Con 0 hijos nacidos",2612,0.26
1312,"La Democracia",15055,"Con 0 hijos nacidos",4406,0.29
1313,"San Miguel Acatán",6259,"Con 0 hijos nacidos",1709,0.27
1314,"San Rafael La Independencia",3359,"Con 0 hijos nacidos",1005,0.3
1315,"Todos Santos Cuchumatán",7986,"Con 0 hijos nacidos",2056,0.26
1316,"San Juan Atitán",5474,"Con 0 hijos nacidos",1671,0.31
1317,"Santa Eulalia",9812,"Con 0 hijos nacidos",2642,0.27
1318,"San Mateo Ixtatán",11186,"Con 0 hijos nacidos",2822,0.25
1319,"Colotenango",8896,"Con 0 hijos nacidos",2517,0.28
1320,"San Sebastián Huehuetenango",8498,"Con 0 hijos nacidos",2704,0.32
1321,"Tectitán",2565,"Con 0 hijos nacidos",740,0.29
1322,"Concepción Huista",4961,"Con 0 hijos nacidos",1483,0.3
1323,"San Juan Ixcoy",5786,"Con 0 hijos nacidos",1595,0.28
1324,"San Antonio Huista",4488,"Con 0 hijos nacidos",1248,0.28
1325,"San Sebastián Coatán",5413,"Con 0 hijos nacidos",1176,0.22
1326,"Santa Cruz Barillas",25158,"Con 0 hijos nacidos",7510,0.3
1327,"Aguacatán",14118,"Con 0 hijos nacidos",5242,0.37
1328,"San Rafael Petzal",2921,"Con 0 hijos nacidos",767,0.26
1329,"San Gaspar Ixchil",2001,"Con 0 hijos nacidos",569,0.28
1330,"Santiago Chimaltenango",3109,"Con 0 hijos nacidos",848,0.27
1331,"Santa Ana Huista",2608,"Con 0 hijos nacidos",705,0.27
1332,"Unión Cantinil",4518,"Con 0 hijos nacidos",1268,0.28
1333,"Petatán",1761,"Con 0 hijos nacidos",494,0.28
1401,"Santa Cruz del Quiché",21349,"Con 0 hijos nacidos",7560,0.35
1402,"Chiché",7576,"Con 0 hijos nacidos",2874,0.38
1403,"Chinique",3030,"Con 0 hijos nacidos",1105,0.36
1404,"Zacualpa",8921,"Con 0 hijos nacidos",3151,0.35
1405,"Chajul",12404,"Con 0 hijos nacidos",4204,0.34
1406,"Santo Tomás Chichicastenango",39398,"Con 0 hijos nacidos",16477,0.42
1407,"Patzité",1651,"Con 0 hijos nacidos",676,0.41
1408,"San Antonio Ilotenango",6624,"Con 0 hijos nacidos",2373,0.36
1409,"San Pedro Jocopilas",8259,"Con 0 hijos nacidos",2760,0.33
1410,"Cunén",10413,"Con 0 hijos nacidos",3078,0.3
1411,"San Juan Cotzal",7761,"Con 0 hijos nacidos",2944,0.38
1412,"Joyabaj",22143,"Con 0 hijos nacidos",6875,0.31
1413,"Santa María Nebaj",20879,"Con 0 hijos nacidos",7219,0.35
1414,"San Andrés Sajcabajá",7012,"Con 0 hijos nacidos",2241,0.32
1415,"San Miguel Uspantán",16070,"Con 0 hijos nacidos",5010,0.31
1416,"Sacapulas",13771,"Con 0 hijos nacidos",4757,0.35
1417,"San Bartolomé Jocotenango",3359,"Con 0 hijos nacidos",1195,0.36
1418,"Canillá",3226,"Con 0 hijos nacidos",786,0.24
1419,"Chicamán",9610,"Con 0 hijos nacidos",2629,0.27
1420,"Playa Grande Ixcán",24529,"Con 0 hijos nacidos",7050,0.29
1421,"Pachalum",2449,"Con 0 hijos nacidos",853,0.35
1501,"Salamá",18185,"Con 0 hijos nacidos",6076,0.33
1502,"San Miguel Chicaj",9140,"Con 0 hijos nacidos",3068,0.34
1503,"Rabinal",10917,"Con 0 hijos nacidos",4070,0.37
1504,"Cubulco",14883,"Con 0 hijos nacidos",4653,0.31
1505,"Granados",3723,"Con 0 hijos nacidos",1276,0.34
1506,"Santa Cruz El Chol",2690,"Con 0 hijos nacidos",1074,0.4
1507,"San Jerónimo",6998,"Con 0 hijos nacidos",2227,0.32
1508,"Purulhá",13896,"Con 0 hijos nacidos",4198,0.3
1601,"Cobán",57097,"Con 0 hijos nacidos",18317,0.32
1602,"Santa Cruz Verapaz",8480,"Con 0 hijos nacidos",2773,0.33
1603,"San Cristóbal Verapaz",17146,"Con 0 hijos nacidos",5711,0.33
1604,"Tactic",10415,"Con 0 hijos nacidos",3386,0.33
1605,"Tamahú",5062,"Con 0 hijos nacidos",1554,0.31
1606,"San Miguel Tucurú",10607,"Con 0 hijos nacidos",2234,0.21
1607,"Panzós",17110,"Con 0 hijos nacidos",4486,0.26
1608,"Senahú",22827,"Con 0 hijos nacidos",5894,0.26
1609,"San Pedro Carchá",60904,"Con 0 hijos nacidos",19591,0.32
1610,"San Juan Chamelco",15105,"Con 0 hijos nacidos",5083,0.34
1611,"San Agustín Lanquín",6248,"Con 0 hijos nacidos",1574,0.25
1612,"Santa María Cahabón",17057,"Con 0 hijos nacidos",4271,0.25
1613,"Chisec",20662,"Con 0 hijos nacidos",5587,0.27
1614,"Chahal",6912,"Con 0 hijos nacidos",1932,0.28
1615,"Fray Bartolomé de las Casas",16834,"Con 0 hijos nacidos",4832,0.29
1616,"Santa Catalina La Tinta",10356,"Con 0 hijos nacidos",2823,0.27
1617,"Raxruhá",9279,"Con 0 hijos nacidos",2534,0.27
1701,"Flores",10948,"Con 0 hijos nacidos",3776,0.34
1702,"San José",1826,"Con 0 hijos nacidos",606,0.33
1703,"San Benito",12803,"Con 0 hijos nacidos",3800,0.3
1704,"San Andrés",8228,"Con 0 hijos nacidos",2346,0.29
1705,"La Libertad",18392,"Con 0 hijos nacidos",4870,0.26
1706,"San Francisco",4060,"Con 0 hijos nacidos",1127,0.28
1707,"Santa Ana",5989,"Con 0 hijos nacidos",1496,0.25
1708,"Dolores",6887,"Con 0 hijos nacidos",1814,0.26
1709,"San Luis",18010,"Con 0 hijos nacidos",5802,0.32
1710,"Sayaxché",23645,"Con 0 hijos nacidos",6316,0.27
1711,"Melchor de Mencos",7551,"Con 0 hijos nacidos",2278,0.3
1712,"Poptún",14432,"Con 0 hijos nacidos",4530,0.31
1713,"Las Cruces",8359,"Con 0 hijos nacidos",2003,0.24
1714,"El Chal",3755,"Con 0 hijos nacidos",1158,0.31
1801,"Puerto Barrios",28502,"Con 0 hijos nacidos",8928,0.31
1802,"Livingston",19257,"Con 0 hijos nacidos",5166,0.27
1803,"El Estor",17875,"Con 0 hijos nacidos",5039,0.28
1804,"Morales",27355,"Con 0 hijos nacidos",8944,0.33
1805,"Los Amates",16007,"Con 0 hijos nacidos",5113,0.32
1901,"Zacapa",16621,"Con 0 hijos nacidos",4808,0.29
1902,"Estanzuela",2774,"Con 0 hijos nacidos",615,0.22
1903,"Río Hondo",6024,"Con 0 hijos nacidos",1915,0.32
1904,"Gualán",12009,"Con 0 hijos nacidos",2969,0.25
1905,"Teculután",5032,"Con 0 hijos nacidos",1308,0.26
1906,"Usumatlán",3269,"Con 0 hijos nacidos",890,0.27
1907,"Cabañas",3533,"Con 0 hijos nacidos",1156,0.33
1908,"San Diego",1927,"Con 0 hijos nacidos",606,0.31
1909,"La Unión",8297,"Con 0 hijos nacidos",2212,0.27
1910,"Huité",2970,"Con 0 hijos nacidos",831,0.28
1911,"San Jorge",3343,"Con 0 hijos nacidos",990,0.3
2001,"Chiquimula",30451,"Con 0 hijos nacidos",10200,0.33
2002,"San José la Arada",2376,"Con 0 hijos nacidos",806,0.34
2003,"San Juan Ermita",4340,"Con 0 hijos nacidos",1467,0.34
2004,"Jocotán",16505,"Con 0 hijos nacidos",4981,0.3
2005,"Camotán",13857,"Con 0 hijos nacidos",4369,0.32
2006,"Olopa",6866,"Con 0 hijos nacidos",2093,0.3
2007,"Esquipulas",14922,"Con 0 hijos nacidos",4644,0.31
2008,"Concepción las Minas",3190,"Con 0 hijos nacidos",1332,0.42
2009,"Quezaltepeque",8185,"Con 0 hijos nacidos",2710,0.33
2010,"San Jacinto",3494,"Con 0 hijos nacidos",1188,0.34
2011,"Ipala",6296,"Con 0 hijos nacidos",2232,0.35
2101,"Jalapa",42623,"Con 0 hijos nacidos",13901,0.33
2102,"San Pedro Pinula",15694,"Con 0 hijos nacidos",4990,0.32
2103,"San Luis Jilotepeque",7307,"Con 0 hijos nacidos",3013,0.41
2104,"San Manuel Chaparrón",2289,"Con 0 hijos nacidos",831,0.36
2105,"San Carlos Alzatate",4999,"Con 0 hijos nacidos",1634,0.33
2106,"Monjas",7665,"Con 0 hijos nacidos",2452,0.32
2107,"Mataquescuintla",11337,"Con 0 hijos nacidos",3744,0.33
2201,"Jutiapa",39656,"Con 0 hijos nacidos",12209,0.31
2202,"El Progreso",6350,"Con 0 hijos nacidos",2007,0.32
2203,"Santa Catarina Mita",8125,"Con 0 hijos nacidos",2583,0.32
2204,"Agua Blanca",4440,"Con 0 hijos nacidos",1566,0.35
2205,"Asunción Mita",13397,"Con 0 hijos nacidos",4680,0.35
2206,"Yupiltepeque",4731,"Con 0 hijos nacidos",1613,0.34
2207,"Atescatempa",4966,"Con 0 hijos nacidos",1664,0.34
2208,"Jerez",1648,"Con 0 hijos nacidos",528,0.32
2209,"El Adelanto",1715,"Con 0 hijos nacidos",569,0.33
2210,"Zapotitlán",2385,"Con 0 hijos nacidos",924,0.39
2211,"Comapa",8354,"Con 0 hijos nacidos",2423,0.29
2212,"Jalpatagua",7773,"Con 0 hijos nacidos",2206,0.28
2213,"Conguaco",5724,"Con 0 hijos nacidos",2034,0.36
2214,"Moyuta",10365,"Con 0 hijos nacidos",3086,0.3
2215,"Pasaco",2199,"Con 0 hijos nacidos",610,0.28
2216,"San José Acatempa",3796,"Con 0 hijos nacidos",1200,0.32
2217,"Quesada",6155,"Con 0 hijos nacidos",1943,0.32
101,"Guatemala",263622,"Con  1 hijos nacidos",55096,0.21
102,"Santa Catarina Pinula",23901,"Con  1 hijos nacidos",4198,0.18
103,"San José Pinula",23316,"Con  1 hijos nacidos",4309,0.18
104,"San José del Golfo",1965,"Con  1 hijos nacidos",356,0.18
105,"Palencia",19386,"Con  1 hijos nacidos",3415,0.18
106,"Chinautla",32974,"Con  1 hijos nacidos",5863,0.18
107,"San Pedro Ayampuc",16464,"Con  1 hijos nacidos",2943,0.18
108,"Mixco",136108,"Con  1 hijos nacidos",26872,0.2
109,"San Pedro Sacatepéquez",14527,"Con  1 hijos nacidos",2389,0.16
110,"San Juan Sacatepéquez",60398,"Con  1 hijos nacidos",9077,0.15
111,"San Raymundo",9010,"Con  1 hijos nacidos",1450,0.16
112,"Chuarrancho",3142,"Con  1 hijos nacidos",487,0.15
113,"Fraijanes",16324,"Con  1 hijos nacidos",2975,0.18
114,"Amatitlán",33678,"Con  1 hijos nacidos",6353,0.19
115,"Villa Nueva",127756,"Con  1 hijos nacidos",23487,0.18
116,"Villa Canales",44559,"Con  1 hijos nacidos",8008,0.18
117,"San Miguel Petapa",40599,"Con  1 hijos nacidos",7662,0.19
201,"Guastatoya",6931,"Con  1 hijos nacidos",1393,0.2
202,"Morazán",3180,"Con  1 hijos nacidos",647,0.2
203,"San Agustín Acasaguastlán",11692,"Con  1 hijos nacidos",2007,0.17
204,"San Cristóbal Acasaguastlán",1955,"Con  1 hijos nacidos",339,0.17
205,"El Jícaro",3577,"Con  1 hijos nacidos",672,0.19
206,"Sansare",3473,"Con  1 hijos nacidos",664,0.19
207,"Sanarate",10818,"Con  1 hijos nacidos",2000,0.18
208,"San Antonio la Paz",5562,"Con  1 hijos nacidos",1056,0.19
301,"Antigua Guatemala",12916,"Con  1 hijos nacidos",2382,0.18
302,"Jocotenango",6227,"Con  1 hijos nacidos",1257,0.2
303,"Pastores",4986,"Con  1 hijos nacidos",852,0.17
304,"Sumpango",10410,"Con  1 hijos nacidos",1581,0.15
305,"Santo Domingo Xenacoj",3564,"Con  1 hijos nacidos",701,0.2
306,"Santiago Sacatepéquez",8470,"Con  1 hijos nacidos",1393,0.16
307,"San Bartolomé Milpas Altas",2316,"Con  1 hijos nacidos",393,0.17
308,"San Lucas Sacatepéquez",6865,"Con  1 hijos nacidos",1278,0.19
309,"Santa Lucía Milpas Altas",4666,"Con  1 hijos nacidos",866,0.19
310,"Magdalena Milpas Altas",3404,"Con  1 hijos nacidos",564,0.17
311,"Santa María de Jesús",5691,"Con  1 hijos nacidos",766,0.13
312,"Ciudad Vieja",9597,"Con  1 hijos nacidos",1619,0.17
313,"San Miguel Dueñas",3701,"Con  1 hijos nacidos",664,0.18
314,"San Juan Alotenango",6638,"Con  1 hijos nacidos",970,0.15
315,"San Antonio Aguas Calientes",3174,"Con  1 hijos nacidos",634,0.2
316,"Santa Catarina Barahona",1165,"Con  1 hijos nacidos",230,0.2
401,"Chimaltenango",28134,"Con  1 hijos nacidos",4455,0.16
402,"San José Poaquil",7775,"Con  1 hijos nacidos",1159,0.15
403,"San Martín Jilotepeque",20494,"Con  1 hijos nacidos",2815,0.14
404,"San Juan Comalapa",13383,"Con  1 hijos nacidos",1757,0.13
405,"Santa Apolonia",5015,"Con  1 hijos nacidos",660,0.13
